Group,IBD_EQR_Status,IBD_min,IBD_max,IBD_mid
Group 1,Bad,4.5,5.9,5.2
Group 1,Poor,6.0,10.0,8.0
Group 1,Moderate,10.1,13.7,11.899999999999999
Group 1,Good,13.8,16.4,15.1
Group 1,High,16.5,20.0,18.25
Group 3,Bad,1.0,6.1,3.55
Group 3,Poor,6.2,10.4,8.3
Group 3,Moderate,10.5,14.3,12.4
Group 3,Good,14.4,17.0,15.7
Group 3,High,17.1,20.0,18.55
Group 4,Bad,4.4,9.2,6.8
Group 4,Poor,9.3,12.7,11.0
Group 4,Moderate,12.8,15.9,14.350000000000001
Group 4,Good,16.0,18.1,17.05
Group 4,High,18.2,20.0,19.1
Group 2,Bad,4.2,9.3,6.75
Group 2,Poor,9.6,13.2,11.399999999999999
Group 2,Moderate,13.3,16.7,15.0
Group 2,Good,16.8,19.0,17.9
Group 2,High,19.1,20.0,19.55
Group 5,Bad,2.9,9.0,5.95
Group 5,Poor,9.1,12.3,10.7
Group 5,Moderate,12.4,15.4,13.9
Group 5,Good,15.5,17.5,16.5
Group 5,High,17.6,20.0,18.8
