HERlvl1Name,IBD_EQR_Status,IBD_min,IBD_max,IBD_mid
ARMORICAIN,Bad,4.5,5.8,5.15
ARMORICAIN,Poor,6.3,10.0,8.15
ARMORICAIN,Moderate,10.1,13.7,11.899999999999999
ARMORICAIN,Good,13.8,16.4,15.1
ARMORICAIN,High,16.5,20.0,18.25
MEDITERRANEEN,Bad,3.8,6.1,4.949999999999999
MEDITERRANEEN,Poor,6.2,10.4,8.3
MEDITERRANEEN,Moderate,10.5,14.3,12.4
MEDITERRANEEN,Good,14.4,17.0,15.7
MEDITERRANEEN,High,17.1,20.0,18.55
TABLES CALCAIRES,Bad,3.7,6.1,4.9
TABLES CALCAIRES,Poor,6.2,10.4,8.3
TABLES CALCAIRES,Moderate,10.5,14.3,12.4
TABLES CALCAIRES,Good,14.4,17.0,15.7
TABLES CALCAIRES,High,17.1,20.0,18.55
COTES CALCAIRES EST,Bad,1.0,6.1,3.55
COTES CALCAIRES EST,Poor,6.2,10.4,8.3
COTES CALCAIRES EST,Moderate,10.5,14.3,12.4
COTES CALCAIRES EST,Good,14.4,17.0,15.7
COTES CALCAIRES EST,High,17.1,20.0,18.55
ALSACE,Bad,4.7,6.1,5.4
ALSACE,Poor,6.5,10.4,8.45
ALSACE,Moderate,10.5,14.3,12.4
ALSACE,Good,14.4,17.0,15.7
ALSACE,High,17.1,20.0,18.55
MASSIF CENTRAL NORD,Bad,4.4,9.2,6.8
MASSIF CENTRAL NORD,Poor,9.3,12.7,11.0
MASSIF CENTRAL NORD,Moderate,12.8,15.9,14.350000000000001
MASSIF CENTRAL NORD,Good,16.0,18.1,17.05
MASSIF CENTRAL NORD,High,18.2,20.0,19.1
COTEAUX AQUITAINS,Bad,3.1,6.0,4.55
COTEAUX AQUITAINS,Poor,6.3,10.4,8.35
COTEAUX AQUITAINS,Moderate,10.5,14.3,12.4
COTEAUX AQUITAINS,Good,14.4,17.0,15.7
COTEAUX AQUITAINS,High,17.1,20.0,18.55
VOSGES,Bad,6.8,9.0,7.9
VOSGES,Poor,9.7,12.7,11.2
VOSGES,Moderate,12.8,15.9,14.350000000000001
VOSGES,Good,16.0,18.1,17.05
VOSGES,High,18.2,20.0,19.1
PLAINE SAONE,Bad,4.9,9.2,7.05
PLAINE SAONE,Poor,9.3,12.7,11.0
PLAINE SAONE,Moderate,12.8,15.9,14.350000000000001
PLAINE SAONE,Good,16.0,18.1,17.05
PLAINE SAONE,High,18.2,20.0,19.1
MASSIF CENTRAL SUD,Bad,5.3,9.2,7.25
MASSIF CENTRAL SUD,Poor,9.3,12.7,11.0
MASSIF CENTRAL SUD,Moderate,12.8,15.9,14.350000000000001
MASSIF CENTRAL SUD,Good,16.0,18.1,17.05
MASSIF CENTRAL SUD,High,18.2,20.0,19.1
JURA-PREALPES DU NORD,Bad,6.2,9.2,7.699999999999999
JURA-PREALPES DU NORD,Poor,9.7,13.2,11.45
JURA-PREALPES DU NORD,Moderate,13.3,16.7,15.0
JURA-PREALPES DU NORD,Good,16.8,19.0,17.9
JURA-PREALPES DU NORD,High,19.1,20.0,19.55
CEVENNES,Bad,8.4,8.4,8.4
CEVENNES,Poor,10.4,12.7,11.55
CEVENNES,Moderate,13.1,15.9,14.5
CEVENNES,Good,16.1,18.1,17.1
CEVENNES,High,18.2,20.0,19.1
ALPES INTERNES,Bad,9.3,9.3,9.3
ALPES INTERNES,Poor,9.7,10.9,10.3
ALPES INTERNES,Moderate,15.6,16.7,16.15
ALPES INTERNES,Good,16.8,19.0,17.9
ALPES INTERNES,High,19.1,20.0,19.55
PYRENEES,Bad,8.4,8.4,8.4
PYRENEES,Poor,9.6,13.2,11.399999999999999
PYRENEES,Moderate,13.6,16.7,15.149999999999999
PYRENEES,Good,16.8,19.0,17.9
PYRENEES,High,19.1,20.0,19.55
CORSE,Bad,8.5,9.1,8.8
CORSE,Poor,10.3,12.7,11.5
CORSE,Moderate,13.0,15.9,14.45
CORSE,Good,16.0,18.1,17.05
CORSE,High,18.2,20.0,19.1
ARDENNES,Poor,8.5,9.8,9.15
ARDENNES,Moderate,11.1,13.7,12.399999999999999
ARDENNES,Good,13.8,16.4,15.1
ARDENNES,High,16.7,20.0,18.35
PREALPES DU SUD,Bad,4.2,8.8,6.5
PREALPES DU SUD,Poor,11.2,13.2,12.2
PREALPES DU SUD,Moderate,13.9,16.6,15.25
PREALPES DU SUD,Good,16.8,19.0,17.9
PREALPES DU SUD,High,19.1,20.0,19.55
CAUSSES AQUITAINS,Poor,8.2,10.4,9.3
