HERlvl1Name,IBD_EQR_Status,IBD_min,IBD_max,IBD_mid
ALPES INTERNES,Bad,0.0,9.8,9.3
ALPES INTERNES,Poor,9.8,13.225,10.3
ALPES INTERNES,Moderate,13.225,17.025,16.15
ALPES INTERNES,Good,17.025,18.725,17.9
ALPES INTERNES,High,18.725,20.0,19.55
ALSACE,Bad,0.0,6.925,5.4
ALSACE,Poor,6.925,10.425,8.45
ALSACE,Moderate,10.425,14.05,12.4
ALSACE,Good,14.05,17.125,15.7
ALSACE,High,17.125,20.0,18.55
ARDENNES,Bad,0.0,6.7,4.25
ARDENNES,Poor,6.7,10.774999999999999,9.15
ARDENNES,Moderate,10.774999999999999,13.75,12.399999999999999
ARDENNES,Good,13.75,16.725,15.1
ARDENNES,High,16.725,20.0,18.35
ARMORICAIN,Bad,0.0,6.65,5.15
ARMORICAIN,Poor,6.65,10.024999999999999,8.15
ARMORICAIN,Moderate,10.024999999999999,13.5,11.899999999999999
ARMORICAIN,Good,13.5,16.675,15.1
ARMORICAIN,High,16.675,20.0,18.25
CAUSSES AQUITAINS,Bad,0.0,6.7,4.1
CAUSSES AQUITAINS,Poor,6.7,10.850000000000001,9.3
CAUSSES AQUITAINS,Moderate,10.850000000000001,14.05,12.4
CAUSSES AQUITAINS,Good,14.05,17.125,15.7
CAUSSES AQUITAINS,High,17.125,20.0,18.55
CEVENNES,Bad,0.0,9.975000000000001,8.4
CEVENNES,Poor,9.975000000000001,13.025,11.55
CEVENNES,Moderate,13.025,15.8,14.5
CEVENNES,Good,15.8,18.1,17.1
CEVENNES,High,18.1,20.0,19.1
CORSE,Bad,0.0,10.15,8.8
CORSE,Poor,10.15,12.975,11.5
CORSE,Moderate,12.975,15.75,14.45
CORSE,Good,15.75,18.075000000000003,17.05
CORSE,High,18.075000000000003,20.0,19.1
COTEAUX AQUITAINS,Bad,0.0,6.449999999999999,4.55
COTEAUX AQUITAINS,Poor,6.449999999999999,10.375,8.35
COTEAUX AQUITAINS,Moderate,10.375,14.05,12.4
COTEAUX AQUITAINS,Good,14.05,17.125,15.7
COTEAUX AQUITAINS,High,17.125,20.0,18.55
COTES CALCAIRES EST,Bad,0.0,5.925000000000001,3.55
COTES CALCAIRES EST,Poor,5.925000000000001,10.350000000000001,8.3
COTES CALCAIRES EST,Moderate,10.350000000000001,14.05,12.4
COTES CALCAIRES EST,Good,14.05,17.125,15.7
COTES CALCAIRES EST,High,17.125,20.0,18.55
DEPOTS ARGILO SABLEUX,Bad,0.0,5.75,3.15
DEPOTS ARGILO SABLEUX,Poor,5.75,10.375,8.35
DEPOTS ARGILO SABLEUX,Moderate,10.375,14.05,12.4
DEPOTS ARGILO SABLEUX,Good,14.05,17.125,15.7
DEPOTS ARGILO SABLEUX,High,17.125,20.0,18.55
DEPRESSIONS SEDIMENTAIRES,Bad,0.0,6.6,5.2
DEPRESSIONS SEDIMENTAIRES,Poor,6.6,9.95,8.0
DEPRESSIONS SEDIMENTAIRES,Moderate,9.95,13.5,11.899999999999999
DEPRESSIONS SEDIMENTAIRES,Good,13.5,16.7,15.1
DEPRESSIONS SEDIMENTAIRES,High,16.7,20.0,18.3
GRANDS CAUSSES,Bad,0.0,7.199999999999999,4.8
GRANDS CAUSSES,Poor,7.199999999999999,11.2,9.6
GRANDS CAUSSES,Moderate,11.2,14.25,12.8
GRANDS CAUSSES,Good,14.25,17.125,15.7
GRANDS CAUSSES,High,17.125,20.0,18.55
JURA-PREALPES DU NORD,Bad,0.0,9.575,7.699999999999999
JURA-PREALPES DU NORD,Poor,9.575,13.225,11.45
JURA-PREALPES DU NORD,Moderate,13.225,16.45,15.0
JURA-PREALPES DU NORD,Good,16.45,18.725,17.9
JURA-PREALPES DU NORD,High,18.725,20.0,19.55
LANDES,Bad,0.0,8.325,5.95
LANDES,Poor,8.325,12.3,10.7
LANDES,Moderate,12.3,15.2,13.9
LANDES,Good,15.2,17.65,16.5
LANDES,High,17.65,20.0,18.8
MASSIF CENTRAL NORD,Bad,0.0,8.9,6.8
MASSIF CENTRAL NORD,Poor,8.9,12.675,11.0
MASSIF CENTRAL NORD,Moderate,12.675,15.700000000000001,14.350000000000001
MASSIF CENTRAL NORD,Good,15.700000000000001,18.075000000000003,17.05
MASSIF CENTRAL NORD,High,18.075000000000003,20.0,19.1
MASSIF CENTRAL SUD,Bad,0.0,9.125,7.25
MASSIF CENTRAL SUD,Poor,9.125,12.675,11.0
MASSIF CENTRAL SUD,Moderate,12.675,15.700000000000001,14.350000000000001
MASSIF CENTRAL SUD,Good,15.700000000000001,18.075000000000003,17.05
MASSIF CENTRAL SUD,High,18.075000000000003,20.0,19.1
MEDITERRANEEN,Bad,0.0,6.625,4.949999999999999
MEDITERRANEEN,Poor,6.625,10.350000000000001,8.3
MEDITERRANEEN,Moderate,10.350000000000001,14.05,12.4
MEDITERRANEEN,Good,14.05,17.125,15.7
MEDITERRANEEN,High,17.125,20.0,18.55
PLAINE SAONE,Bad,0.0,9.025,7.05
PLAINE SAONE,Poor,9.025,12.675,11.0
PLAINE SAONE,Moderate,12.675,15.700000000000001,14.350000000000001
PLAINE SAONE,Good,15.700000000000001,18.075000000000003,17.05
PLAINE SAONE,High,18.075000000000003,20.0,19.1
PREALPES DU SUD,Bad,0.0,9.35,6.5
PREALPES DU SUD,Poor,9.35,13.725,12.2
PREALPES DU SUD,Moderate,13.725,16.575,15.25
PREALPES DU SUD,Good,16.575,18.725,17.9
PREALPES DU SUD,High,18.725,20.0,19.55
PYRENEES,Bad,0.0,9.899999999999999,8.4
PYRENEES,Poor,9.899999999999999,13.274999999999999,11.399999999999999
PYRENEES,Moderate,13.274999999999999,16.525,15.149999999999999
PYRENEES,Good,16.525,18.725,17.9
PYRENEES,High,18.725,20.0,19.55
TABLES CALCAIRES,Bad,0.0,6.6000000000000005,4.9
