iter	Passed	Remaining
0	7	21587
1	13	19693
2	18	18534
3	23	17651
4	28	17146
5	33	16508
6	34	14674
7	38	14238
8	41	13781
9	44	13387
10	47	12882
11	50	12473
12	52	12090
13	54	11719
14	57	11435
15	59	11083
16	61	10780
17	63	10555
18	66	10356
19	68	10142
20	70	9976
21	72	9750
22	74	9592
23	76	9465
24	78	9336
25	80	9194
26	82	9058
27	84	8983
28	87	8927
29	89	8835
30	91	8761
31	92	8567
32	94	8461
33	96	8383
34	98	8314
35	100	8241
36	102	8182
37	104	8126
38	106	8068
39	108	7998
40	110	8007
41	112	7958
42	115	7909
43	117	7868
44	119	7828
45	121	7815
46	125	7876
47	128	7905
48	131	7939
49	134	7929
50	137	7938
51	139	7920
52	142	7906
53	144	7878
54	146	7839
55	148	7797
56	149	7724
57	151	7695
58	153	7664
59	155	7642
60	157	7611
61	159	7581
62	162	7569
63	164	7556
64	166	7533
65	169	7519
66	171	7486
67	173	7460
68	175	7440
69	177	7436
70	180	7428
71	182	7427
72	185	7420
73	187	7413
74	190	7425
75	193	7425
76	196	7448
77	198	7445
78	201	7434
79	203	7432
80	205	7423
81	208	7424
82	211	7422
83	213	7404
84	215	7405
85	218	7405
86	221	7401
87	223	7410
88	226	7399
89	228	7396
90	231	7391
91	233	7391
92	236	7380
93	238	7372
94	241	7376
95	243	7372
96	246	7363
97	248	7365
98	251	7360
99	253	7356
100	256	7352
101	258	7343
102	261	7341
103	263	7335
104	265	7326
105	268	7338
106	271	7330
107	273	7326
108	276	7331
109	278	7320
110	281	7330
111	284	7327
112	286	7331
113	289	7325
114	291	7315
115	294	7313
116	296	7307
117	298	7301
118	301	7299
119	303	7291
120	306	7288
121	308	7282
122	311	7278
123	313	7279
124	316	7278
125	319	7293
126	322	7288
127	324	7279
128	327	7279
129	329	7272
130	331	7270
131	334	7270
132	337	7266
133	339	7263
134	342	7266
135	344	7261
136	347	7266
137	349	7257
138	352	7253
139	354	7251
140	357	7245
141	359	7243
142	362	7237
143	364	7232
144	367	7234
145	369	7225
146	372	7227
147	376	7257
148	379	7267
149	382	7263
150	384	7261
151	387	7253
152	389	7247
153	392	7246
154	394	7244
155	397	7238
156	399	7233
157	401	7223
158	404	7219
159	406	7217
160	409	7212
161	411	7215
162	414	7216
163	417	7217
164	420	7222
165	422	7216
166	425	7217
167	427	7209
168	429	7200
169	432	7204
170	435	7198
171	437	7199
172	440	7194
173	442	7190
174	445	7188
175	447	7183
176	450	7182
177	452	7181
178	455	7177
179	457	7174
180	460	7170
181	462	7168
182	465	7168
183	468	7163
184	470	7164
185	473	7162
186	475	7157
187	478	7154
188	480	7147
189	482	7141
190	485	7143
191	488	7137
192	491	7143
193	493	7141
194	496	7141
195	499	7143
196	501	7138
197	504	7135
198	506	7131
199	508	7125
200	511	7125
201	514	7123
202	517	7125
203	519	7120
204	522	7121
205	525	7125
206	527	7119
207	530	7121
208	532	7115
209	535	7112
210	537	7106
211	540	7101
212	542	7097
213	545	7096
214	547	7090
215	549	7087
216	552	7081
217	554	7076
218	557	7076
219	559	7071
220	562	7068
221	564	7066
222	567	7061
223	569	7061
224	572	7057
225	574	7051
226	576	7047
227	579	7041
228	581	7037
229	584	7035
230	586	7029
231	588	7026
232	591	7020
233	593	7016
234	595	7010
235	598	7005
236	601	7007
237	603	7008
238	606	7002
239	608	7000
240	610	6994
241	613	6991
242	616	6993
243	619	6992
244	622	6996
245	624	6991
246	627	6991
247	629	6989
248	632	6985
249	635	6987
250	637	6983
251	640	6983
252	642	6980
253	647	7002
254	650	7003
255	653	7002
256	656	7004
257	658	6999
258	661	6997
259	663	6993
260	666	6991
261	668	6987
262	670	6982
263	673	6979
264	675	6976
265	678	6972
266	681	6970
267	683	6967
268	686	6965
269	688	6962
270	691	6958
271	693	6956
272	696	6956
273	698	6953
274	701	6950
275	703	6946
276	706	6944
277	708	6939
278	710	6933
279	713	6931
280	716	6929
281	719	6932
282	721	6928
283	724	6925
284	726	6924
285	729	6920
286	731	6917
287	734	6914
288	736	6909
289	739	6908
290	741	6906
291	744	6907
292	747	6907
293	749	6902
294	752	6902
295	754	6897
296	757	6893
297	760	6891
298	762	6885
299	764	6881
300	767	6878
301	769	6875
302	772	6873
303	774	6868
304	776	6863
305	779	6861
306	781	6856
307	784	6853
308	786	6851
309	789	6847
310	791	6846
311	794	6848
312	797	6848
313	800	6844
314	802	6841
315	805	6839
316	807	6837
317	810	6837
318	813	6836
319	815	6833
320	819	6836
321	821	6832
322	824	6829
323	826	6824
324	828	6821
325	831	6819
326	833	6815
327	836	6812
328	838	6811
329	841	6808
330	844	6809
331	847	6808
332	849	6807
333	852	6803
334	854	6799
335	857	6796
336	859	6793
337	861	6788
338	864	6788
339	867	6784
340	869	6781
341	871	6776
342	874	6773
343	876	6769
344	879	6766
345	881	6762
346	884	6763
347	886	6758
348	889	6756
349	891	6752
350	894	6747
351	896	6746
352	899	6741
353	901	6738
354	904	6737
355	906	6736
356	909	6735
357	912	6732
358	915	6732
359	917	6729
360	919	6725
361	922	6722
362	925	6720
363	928	6721
364	930	6720
365	933	6717
366	936	6715
367	938	6710
368	941	6710
369	943	6708
370	946	6708
371	950	6712
372	952	6707
373	954	6705
374	957	6701
375	959	6697
376	962	6695
377	964	6691
378	966	6684
379	968	6679
380	971	6677
381	973	6671
382	975	6667
383	977	6661
384	979	6655
385	982	6652
386	984	6645
387	986	6638
388	988	6633
389	990	6627
390	992	6620
391	994	6618
392	996	6612
393	998	6605
394	1001	6601
395	1003	6595
396	1005	6593
397	1008	6590
398	1010	6584
399	1012	6579
400	1014	6575
401	1016	6570
402	1018	6564
403	1021	6561
404	1023	6557
405	1025	6555
406	1028	6554
407	1031	6550
408	1033	6547
409	1036	6545
410	1038	6542
411	1041	6540
412	1043	6537
413	1046	6534
414	1048	6533
415	1051	6530
416	1053	6528
417	1056	6528
418	1059	6525
419	1062	6524
420	1064	6520
421	1066	6516
422	1069	6515
423	1072	6513
424	1076	6519
425	1078	6518
426	1081	6518
427	1084	6517
428	1087	6516
429	1090	6516
430	1092	6513
431	1095	6514
432	1099	6515
433	1101	6513
434	1104	6510
435	1107	6511
436	1109	6509
437	1112	6509
438	1115	6507
439	1117	6503
440	1120	6503
441	1123	6500
442	1126	6500
443	1128	6496
444	1131	6493
