iter	RMSE
0	1.346488368
1	1.321663303
2	1.295222491
3	1.274155421
4	1.251522729
5	1.226907375
6	1.20950888
7	1.18959068
8	1.167670617
9	1.147695235
10	1.133144301
11	1.117269136
12	1.100313234
13	1.081507267
14	1.063996744
15	1.050324678
16	1.037331451
17	1.02747453
18	1.011202687
19	1.001796394
20	0.9886754297
21	0.9758732844
22	0.9640658046
23	0.9520404243
24	0.9433694357
25	0.9407737399
26	0.9282970525
27	0.9201178273
28	0.9108131436
29	0.9006041754
30	0.8937147389
31	0.8849886807
32	0.878613894
33	0.8733715324
34	0.8641001307
35	0.857687351
36	0.8505999406
37	0.8435570443
38	0.8380093396
39	0.8327066692
40	0.8257369571
41	0.8192375849
42	0.8129536297
43	0.8111710382
44	0.8094121762
45	0.8043414492
46	0.8013522055
47	0.7940002255
48	0.7916292433
49	0.7873217885
50	0.7811756421
51	0.7753786219
52	0.7697597681
53	0.7682957621
54	0.7668938322
55	0.7627621005
56	0.7570235222
57	0.7532724213
58	0.7474753867
59	0.74294548
60	0.7414909911
61	0.7374271974
62	0.7359069618
63	0.7329162015
64	0.7288421635
65	0.7262654754
66	0.721605801
67	0.719188517
68	0.7135144979
69	0.7103634257
70	0.7047547408
71	0.7009080489
72	0.696847187
73	0.6939374533
74	0.6912417045
75	0.6880577546
76	0.6854462461
77	0.6817429012
78	0.6781698105
79	0.6770970335
80	0.6743306441
81	0.6694526958
82	0.6664118476
83	0.665595941
84	0.6610158696
85	0.6570208313
86	0.6547935702
87	0.65322003
88	0.6523094616
89	0.6481786412
90	0.6447538374
91	0.6408634721
92	0.6383931439
93	0.635368827
94	0.633144237
95	0.6292707117
96	0.6270784531
97	0.6249973142
98	0.6227779714
99	0.6212521031
100	0.6180692593
101	0.615074644
102	0.6123879207
103	0.6093237501
104	0.6061625953
105	0.6035037621
106	0.6011342854
107	0.59756386
108	0.5960496097
109	0.5925364993
110	0.5915493517
111	0.5904931226
112	0.5871776152
113	0.5845149797
114	0.5819633133
115	0.5812772035
116	0.5779833573
117	0.576957447
118	0.5751144367
119	0.5743295761
120	0.5708167136
121	0.5685291561
122	0.5674729165
123	0.5651636959
124	0.5627023563
125	0.5599694607
126	0.5579498205
127	0.5573697568
128	0.5525715957
129	0.5517866538
130	0.5490716206
131	0.5483355075
132	0.5468505324
133	0.5436478102
134	0.5423100249
135	0.5402742553
136	0.5380636781
137	0.5357070566
138	0.5338295944
139	0.5331368525
140	0.5324468598
141	0.5311580423
142	0.5302384745
143	0.5276735581
144	0.5246280369
145	0.5219936355
146	0.5213463031
147	0.5191930413
148	0.518531187
149	0.516600026
150	0.5142912641
151	0.511971365
152	0.5097856171
153	0.5088379201
154	0.5045511823
155	0.502713386
156	0.5019788468
157	0.4997930766
158	0.4991973107
159	0.4965134871
160	0.4956402872
161	0.4948229274
162	0.4904851292
163	0.4899882838
164	0.4894221238
165	0.4867907783
166	0.4843246254
167	0.483394529
168	0.4814139837
169	0.480709356
170	0.4795272061
171	0.4771307957
172	0.4762447157
173	0.4753632007
174	0.473608807
175	0.4706906374
176	0.4687190795
177	0.4666828899
178	0.4633228592
179	0.4612872806
180	0.4607372934
181	0.4589756226
182	0.4584586797
183	0.4569686835
184	0.4558960763
185	0.4553873834
186	0.4534547224
187	0.4529118555
188	0.4494251307
189	0.4489444935
190	0.4466103991
191	0.4427676704
192	0.4417057515
193	0.4383805797
194	0.4378534581
195	0.4361040588
196	0.4330208109
197	0.4305914623
198	0.4293376927
199	0.4268926482
200	0.4255262645
201	0.4250196498
202	0.4234323741
203	0.4218339707
204	0.4204705088
205	0.4184852062
206	0.4179940396
207	0.4152325988
208	0.4131132266
209	0.4118009727
210	0.4113423256
211	0.4103407287
212	0.4083565578
213	0.4078966999
214	0.4074494373
215	0.4060938227
216	0.4056574847
217	0.4042100286
218	0.4025395107
219	0.4021126062
220	0.4017538519
221	0.4006965492
222	0.3990621435
223	0.3972248812
224	0.3954377508
225	0.395085818
226	0.3946928245
227	0.3943683201
228	0.3920407805
229	0.3905857007
230	0.3902643505
231	0.3891280563
232	0.3878183736
233	0.3863100794
234	0.3847238616
235	0.3822417715
236	0.3809569033
237	0.3794806723
238	0.3791286863
239	0.3787815045
240	0.377617591
241	0.3764542578
242	0.376164642
243	0.375849736
244	0.3741228767
245	0.3712161471
246	0.3695795378
247	0.369339239
248	0.3690548681
249	0.368792148
250	0.3678419033
251	0.3657458877
252	0.3641783048
253	0.3629579994
254	0.361023024
255	0.3607246978
256	0.3598286978
257	0.3578307089
258	0.3564501179
259	0.3549849182
260	0.3542252338
261	0.3531917439
262	0.3514913012
263	0.3508763676
264	0.3487405501
265	0.3481893659
266	0.3479549655
267	0.3476865079
268	0.3461732721
269	0.3451519241
270	0.3439878931
271	0.3427459412
272	0.3420874207
273	0.3411345242
274	0.340282054
275	0.3388396744
276	0.338166642
277	0.3366162559
278	0.3354780699
279	0.334807425
280	0.3342423425
281	0.33319155
282	0.3329869199
283	0.3308375313
284	0.3293537262
285	0.3287883063
286	0.328485267
287	0.327721652
288	0.3268101929
289	0.3254348526
290	0.3244311578
291	0.3237042266
292	0.322396075
293	0.3215228034
294	0.3213234578
295	0.3204764062
296	0.3194690563
297	0.3184998121
298	0.3183136931
299	0.3178462196
300	0.3161720804
301	0.3158839193
302	0.3156953819
303	0.3150667165
304	0.3147491117
305	0.3139191489
306	0.3129570951
307	0.3120798285
308	0.3118319295
309	0.310853913
310	0.3101418587
311	0.3093849466
312	0.3090228291
313	0.3088749433
314	0.3077943752
315	0.3064450148
316	0.3062682504
317	0.3049424186
318	0.3032265021
319	0.301579166
320	0.3014080976
321	0.3005548993
322	0.2997823112
323	0.2996119918
324	0.2983565594
325	0.2974338872
326	0.2972665236
327	0.2966133189
328	0.2958617707
329	0.2954093914
330	0.2945497689
331	0.294387021
332	0.2936615966
333	0.2927459704
334	0.2915750954
335	0.2910418836
336	0.2905565191
337	0.2898214952
338	0.2891111369
339	0.2889574895
340	0.2882635986
341	0.2879495996
342	0.2871645996
343	0.2864594141
344	0.2859798724
345	0.2850977865
346	0.2843293074
347	0.2832320179
348	0.2831009038
349	0.2828057272
350	0.2825739941
351	0.28226096
352	0.2821151866
353	0.2811541929
354	0.2805342708
355	0.2798082724
356	0.2795930533
357	0.27945818
358	0.278894069
359	0.2781689217
360	0.2773100827
361	0.2771776009
362	0.2761669079
363	0.2757164012
364	0.2751742113
365	0.2744448525
366	0.2743146875
367	0.2741880182
368	0.274064679
369	0.2734859904
370	0.2733809506
371	0.272499787
372	0.2711644583
373	0.2703734022
374	0.2690068412
375	0.2676951913
376	0.2673533383
377	0.2668591192
378	0.2660892562
379	0.2658221184
380	0.2655829942
381	0.265464513
382	0.264629931
383	0.263756268
384	0.263166665
385	0.2624140639
386	0.2621091745
387	0.2615011612
388	0.2608306703
389	0.2607086814
390	0.2601598889
391	0.259734289
392	0.2585547713
393	0.257814946
394	0.2571608352
395	0.2560760919
396	0.255956159
397	0.2548727352
398	0.2547551229
399	0.2542016086
400	0.2540873433
401	0.2535486472
402	0.2534401563
403	0.2531295686
404	0.2526008656
405	0.2520185719
406	0.2513256487
407	0.2512212235
408	0.2510150798
409	0.2501490581
410	0.2498764697
411	0.2497797748
412	0.2489494364
413	0.248767139
414	0.2482043127
415	0.2477783199
416	0.2476199789
417	0.2469309617
418	0.2468321867
419	0.2463454589
420	0.2455562486
421	0.2447176416
422	0.2442320835
423	0.2437058969
424	0.242963768
425	0.2423197711
426	0.2420482134
427	0.2415557429
428	0.2414576548
429	0.2408975224
430	0.2407615706
431	0.2401904771
432	0.2396383051
433	0.2392863642
434	0.2391186737
435	0.238067394
436	0.2370983343
437	0.2364704908
438	0.2354758175
439	0.23489467
440	0.2347939008
441	0.2343454328
442	0.2342015724
443	0.2337303165
444	0.2334632995
445	0.2333756884
446	0.232722791
447	0.2319688258
448	0.2314571319
449	0.2306278283
450	0.2303868593
451	0.2302979951
452	0.2295448745
453	0.2287980309
454	0.2280882873
455	0.227921425
456	0.2276551492
457	0.2274991688
458	0.2273630427
459	0.2268329453
460	0.2260521881
461	0.2253086418
462	0.2249243469
463	0.2240585354
464	0.223976017
465	0.2236281003
466	0.2232540342
467	0.2231699169
468	0.2227421611
469	0.222075117
470	0.2214441636
471	0.2205938771
472	0.2200215344
473	0.2199334101
474	0.2196766609
475	0.2192500782
476	0.2189448792
477	0.2182406003
478	0.218110169
479	0.2175120664
480	0.2167576112
481	0.2166122424
482	0.2163466061
483	0.2162091059
484	0.2157171458
485	0.2156322288
486	0.2152348548
487	0.2151523822
488	0.2150417777
489	0.2145859024
490	0.2140607602
491	0.2134297256
492	0.2129272983
493	0.2126489237
494	0.2123771002
495	0.2117012145
496	0.211621618
497	0.2107925681
498	0.2102053971
499	0.2099395531
500	0.2094750615
501	0.2090624848
502	0.2089857646
503	0.2087387573
504	0.208127196
505	0.2075466516
506	0.2074153017
507	0.206602849
508	0.20646453
509	0.2061949039
510	0.2056059764
511	0.2050222248
512	0.2049516377
513	0.2044200418
514	0.2039984877
515	0.2037403231
516	0.2034539396
517	0.2033589386
518	0.2026942619
519	0.2020985781
520	0.2018366105
521	0.2017207432
522	0.2015976919
523	0.2013139019
524	0.2004540526
525	0.2003879359
526	0.1997581949
527	0.199210654
528	0.1989447642
529	0.1987110328
530	0.1982682508
531	0.1978028078
532	0.19767755
533	0.1974755379
534	0.1967696041
535	0.1962784986
536	0.1958881774
537	0.1955740059
538	0.1954661338
539	0.1953541509
540	0.1951282856
541	0.1946692007
542	0.1946004682
543	0.1941767006
544	0.1938491782
545	0.1934196871
546	0.1932780192
547	0.1927419334
548	0.1926305108
549	0.1920497235
550	0.1914592732
551	0.1913216246
552	0.1905624754
553	0.1904962157
554	0.1901009302
555	0.1897063631
556	0.1895435737
557	0.1891573317
558	0.1887766472
559	0.1883958677
560	0.1883006847
561	0.1878122519
562	0.1873373881
563	0.187252193
564	0.1865720287
565	0.1861326033
566	0.185644497
567	0.1852994302
568	0.1850648992
569	0.1847521177
570	0.1846823604
571	0.1843085633
572	0.1838277808
573	0.183695914
574	0.1834525435
575	0.1829103184
576	0.18280349
577	0.1821420709
578	0.1817165332
579	0.1814900611
580	0.1813280918
581	0.1809731548
582	0.180597656
583	0.180535388
584	0.1801206566
585	0.1798268225
586	0.1795682944
587	0.179471026
588	0.1792526892
589	0.1790610286
590	0.1786250444
591	0.178537766
592	0.1780079766
593	0.1779477108
594	0.1778504433
595	0.1777933479
596	0.1773301876
597	0.1769495014
598	0.1764764765
599	0.1760186932
600	0.1754920456
601	0.1751217256
602	0.1747020872
603	0.1746311532
604	0.1743986478
605	0.173935442
606	0.1733789245
607	0.1732627671
608	0.1727185525
609	0.1722780109
610	0.1718579056
611	0.1716271947
612	0.171531999
613	0.1712342703
614	0.1711774393
615	0.1709676148
616	0.1704701917
617	0.1700115654
618	0.1696539754
619	0.1695983824
620	0.1692547396
621	0.1689556272
622	0.1688624124
623	0.1684018653
624	0.1678962392
625	0.1678150569
626	0.167451679
627	0.1669866482
628	0.1668874046
629	0.1664690962
630	0.1664143286
631	0.1662620439
632	0.1660140979
633	0.1659292885
634	0.1656462545
635	0.1655940855
636	0.165520044
637	0.1650565431
638	0.1647607269
639	0.1644779914
640	0.1641801909
641	0.1637520517
642	0.163362802
643	0.1629163253
644	0.1626596135
645	0.1625705005
646	0.1623737286
647	0.1619657514
648	0.1616028851
649	0.1614096075
650	0.1610654367
651	0.1607342774
652	0.1604521429
653	0.1602119486
654	0.1601613307
655	0.159914314
656	0.1598593997
657	0.1598110788
658	0.1596268334
659	0.1593208048
660	0.1592450958
661	0.1590807823
662	0.1590328083
663	0.1589787016
664	0.1587215684
665	0.1583957911
666	0.1583459012
667	0.1582979268
668	0.1582211768
669	0.1576583988
670	0.1571723287
671	0.1567793957
672	0.1566186313
673	0.156571193
674	0.1561767929
675	0.1557742584
676	0.155386545
677	0.1551137802
678	0.1546607883
679	0.1544251809
680	0.1540900735
681	0.1539369338
682	0.1534191261
683	0.1532449087
684	0.1529939415
685	0.1526754497
686	0.1526288161
687	0.1525875043
688	0.1522542622
689	0.1515930538
690	0.1513605409
691	0.1511224217
692	0.1508753565
693	0.1508005511
694	0.1504910289
695	0.149849779
696	0.1498049813
697	0.1495176578
698	0.1491234704
699	0.1488829379
700	0.1486273762
701	0.1483056865
702	0.1482447506
703	0.1479160384
704	0.1475046205
705	0.1474422592
706	0.1471356775
707	0.1470589498
708	0.1470002057
709	0.1467787395
710	0.1466024456
711	0.1462139215
712	0.1459605218
713	0.1456966785
714	0.145653286
715	0.1456105253
716	0.1451788313
717	0.1449808662
718	0.1448658045
719	0.1446445992
720	0.144346103
721	0.1442825213
722	0.1441609447
723	0.1438429349
724	0.1435793368
725	0.1432667074
726	0.1432299281
727	0.1428845586
728	0.1428066886
729	0.1424389606
730	0.1423037772
731	0.1419970504
732	0.1419303983
733	0.1415128385
734	0.1412420589
735	0.1410566589
736	0.1408345219
737	0.1407974281
738	0.1404483552
739	0.1401450728
740	0.1400006528
741	0.1399600477
742	0.1399215955
743	0.1398435076
744	0.1395619383
745	0.1395038185
746	0.1394661682
747	0.1391155486
748	0.1390610092
749	0.1387514356
750	0.1384750788
751	0.1381549371
752	0.1379495311
753	0.1376586931
754	0.1376200601
755	0.1375843932
756	0.1375007858
757	0.1372671406
758	0.1371666251
759	0.1368189179
760	0.1365336521
761	0.1362359434
762	0.1360662634
763	0.1358778759
764	0.135690335
765	0.135632421
766	0.1353723123
767	0.1352697889
768	0.1351341489
769	0.1348947314
770	0.1346693211
771	0.1345126599
772	0.1342145763
773	0.133912885
774	0.1335696523
775	0.1335030419
776	0.1332496774
777	0.1332105723
778	0.1331559094
779	0.1327604764
780	0.1327036659
781	0.1325125417
782	0.1321726202
783	0.13180381
784	0.1317663942
785	0.1313122538
786	0.1312559673
787	0.1310978893
788	0.1310581126
789	0.1310216858
790	0.1309868754
791	0.1308714404
792	0.1308209971
793	0.1307779656
794	0.1306487346
795	0.1306127588
796	0.1303834508
797	0.1303502882
798	0.1303176472
