iter	Passed	Remaining
0	3	9418
1	5	8987
2	8	8459
3	10	7974
4	12	7695
5	15	7693
6	16	6989
7	18	6979
8	21	7288
9	24	7323
10	26	7312
11	29	7305
12	31	7283
13	34	7302
14	36	7343
15	39	7451
16	42	7525
17	45	7541
18	48	7565
19	50	7530
20	52	7503
21	54	7440
22	57	7423
23	60	7450
24	62	7459
25	65	7439
26	67	7460
27	70	7453
28	72	7475
29	75	7468
30	77	7444
31	79	7351
32	82	7413
33	84	7412
34	87	7432
35	90	7426
36	92	7427
37	96	7486
38	98	7469
39	101	7488
40	103	7483
41	106	7478
42	109	7526
43	112	7536
44	115	7598
45	119	7666
46	123	7746
47	126	7782
48	130	7832
49	132	7833
50	135	7839
51	137	7818
52	140	7822
53	143	7802
54	145	7805
55	148	7816
56	149	7738
57	152	7741
58	155	7739
59	157	7724
60	160	7729
61	162	7711
62	165	7712
63	167	7698
64	170	7687
65	172	7688
66	175	7684
67	178	7710
68	181	7709
69	184	7713
70	186	7710
71	189	7697
72	191	7693
73	194	7700
74	198	7727
75	200	7726
76	203	7722
77	205	7716
78	208	7703
79	211	7707
80	213	7694
81	216	7686
82	218	7685
83	221	7673
84	223	7672
85	226	7677
86	228	7665
87	231	7664
88	234	7656
89	236	7651
90	239	7653
91	242	7661
92	245	7662
93	247	7651
94	250	7654
95	252	7648
96	255	7636
97	257	7634
98	260	7622
99	262	7621
100	266	7645
101	268	7633
102	271	7633
103	274	7631
104	277	7644
105	279	7634
106	282	7632
107	284	7629
108	287	7622
109	290	7624
110	292	7619
111	295	7615
112	297	7611
113	300	7603
114	303	7611
115	306	7612
116	309	7616
117	311	7611
118	314	7603
119	316	7606
120	319	7599
121	322	7605
122	324	7597
123	328	7612
124	330	7601
125	332	7595
126	335	7593
127	338	7585
128	340	7587
129	343	7580
130	345	7574
131	348	7575
132	351	7581
133	354	7585
134	357	7577
135	359	7575
136	362	7574
137	364	7566
138	367	7567
139	370	7566
140	374	7589
141	377	7596
142	380	7603
143	383	7598
144	385	7591
145	388	7585
146	390	7576
147	393	7581
148	395	7576
149	398	7574
150	400	7565
151	403	7553
152	405	7551
153	408	7543
154	410	7539
155	413	7540
156	416	7535
157	418	7534
158	421	7530
159	423	7525
160	426	7527
161	429	7524
162	432	7526
163	434	7521
164	437	7515
165	439	7510
166	442	7504
167	444	7500
168	447	7494
169	449	7486
170	452	7487
171	455	7487
172	458	7485
173	460	7483
174	463	7476
175	465	7474
176	468	7471
177	471	7470
178	474	7470
179	476	7465
180	479	7464
181	481	7457
182	484	7454
183	487	7454
184	489	7447
185	492	7446
186	494	7439
187	497	7440
188	499	7435
189	502	7435
190	505	7431
191	508	7433
192	513	7472
193	516	7466
194	518	7459
195	521	7454
196	523	7452
197	526	7446
198	528	7436
199	531	7434
200	533	7427
201	535	7422
202	538	7416
203	540	7408
204	542	7403
205	545	7399
206	547	7391
207	550	7389
208	552	7382
209	555	7374
210	557	7373
211	560	7368
212	562	7364
213	565	7365
214	568	7361
215	572	7374
216	574	7368
217	577	7365
218	579	7358
219	581	7351
220	584	7354
221	587	7345
222	589	7343
223	591	7336
224	594	7330
225	597	7333
226	599	7328
227	602	7320
228	604	7317
229	607	7311
230	609	7306
231	611	7298
232	614	7291
233	616	7290
234	619	7283
235	621	7277
236	624	7275
237	626	7269
238	629	7267
239	631	7262
240	633	7256
241	636	7254
242	638	7249
243	641	7243
244	644	7242
245	646	7235
246	648	7233
247	651	7228
248	653	7223
249	656	7222
250	658	7215
251	661	7217
252	664	7212
253	666	7207
254	669	7210
255	672	7203
256	674	7197
257	677	7196
258	679	7191
259	682	7191
260	685	7189
261	687	7186
262	690	7183
263	692	7176
264	695	7173
265	697	7169
266	699	7163
267	702	7161
268	705	7157
269	707	7151
270	710	7151
271	712	7145
272	715	7143
273	717	7139
274	719	7132
275	722	7130
276	724	7124
277	727	7118
278	729	7116
279	732	7111
280	735	7113
281	737	7107
282	739	7101
283	742	7100
284	744	7095
285	747	7091
286	749	7089
287	752	7083
288	755	7083
289	757	7077
290	759	7073
291	762	7070
292	764	7065
293	767	7065
294	770	7064
295	772	7058
296	775	7058
297	777	7052
298	780	7048
299	782	7043
300	784	7038
301	787	7037
302	790	7034
303	792	7028
304	795	7030
305	797	7024
306	800	7020
307	802	7016
308	805	7011
309	807	7010
310	810	7006
311	812	7001
312	815	6999
313	817	6994
314	820	6991
315	822	6989
316	825	6987
317	828	6986
318	830	6982
319	833	6979
320	835	6975
321	838	6970
322	841	6970
323	843	6970
324	846	6968
325	849	6966
326	851	6960
327	854	6959
328	856	6954
329	858	6949
330	861	6946
331	864	6943
332	867	6944
333	869	6941
334	872	6938
335	874	6936
336	877	6931
337	879	6928
338	882	6924
339	884	6919
340	887	6919
341	889	6914
342	892	6909
343	894	6906
344	896	6901
345	899	6897
346	902	6897
347	904	6892
348	907	6891
349	909	6887
350	912	6883
351	914	6881
352	917	6877
353	920	6876
354	922	6873
355	925	6869
356	928	6871
357	930	6866
358	933	6867
359	935	6863
360	938	6858
361	940	6855
362	943	6851
363	945	6848
364	948	6844
365	950	6839
366	953	6838
367	955	6833
368	957	6828
369	960	6826
370	963	6824
371	965	6822
372	968	6820
373	970	6815
374	973	6813
375	975	6808
376	977	6803
377	980	6800
378	983	6802
379	986	6800
380	993	6828
381	995	6824
382	997	6817
383	1000	6814
384	1002	6808
385	1004	6805
386	1007	6802
387	1009	6797
388	1012	6796
389	1015	6792
390	1017	6788
391	1020	6787
392	1022	6784
393	1025	6781
394	1027	6778
395	1030	6774
396	1032	6772
397	1035	6767
398	1037	6764
399	1040	6763
400	1042	6758
401	1045	6755
402	1048	6754
403	1050	6750
404	1053	6748
405	1055	6744
406	1057	6739
407	1060	6738
408	1063	6738
409	1066	6739
410	1069	6739
411	1073	6746
412	1076	6745
413	1080	6747
414	1082	6743
415	1085	6741
416	1087	6736
417	1090	6733
418	1092	6730
419	1095	6726
420	1098	6726
421	1100	6722
422	1102	6719
423	1105	6716
424	1107	6711
425	1110	6708
426	1112	6704
427	1114	6699
428	1117	6698
429	1119	6693
430	1122	6689
431	1125	6687
432	1127	6682
433	1129	6679
434	1132	6677
435	1135	6675
436	1137	6672
437	1140	6671
438	1143	6669
439	1145	6665
440	1147	6660
441	1150	6658
442	1152	6654
443	1155	6650
444	1158	6649
