region,model_path,n_rows,n_train,n_to_score,n_features,R2_train,R2_valid,MAE_train,MAE_valid,RMSE_train,RMSE_valid,best_iterations
1,models/regions/catboost_region_1.joblib,1485,1313,172,105,0.9999197899775062,0.7766732930477798,0.009870818979909157,0.34788969942590814,0.0001517799712354473,0.4919107717326927,2992
2,models/regions/catboost_region_2.joblib,352,308,44,93,0.9985147746381906,0.7002447926765161,0.03614974109631732,0.21086839459916784,0.0025068196960414497,0.2799420431515925,244
3,models/regions/catboost_region_3.joblib,4996,4430,566,137,0.9983167405580277,0.9611583562313191,0.08556932497883234,0.3823390433489191,0.012393057980515326,0.2974737868513913,2994
4,models/regions/catboost_region_4.joblib,596,494,102,137,0.9999999727087563,0.8491945604393583,0.0003602244229223406,0.7071820047267887,1.9767833643816618e-07,1.1606258050682061,2997
5,models/regions/catboost_region_5.joblib,2313,2069,244,127,0.9998745359063614,0.9342697445180989,0.022089059233192317,0.4199425093064204,0.0007775573396479186,0.4717722435025523,2998
6,models/regions/catboost_region_6.joblib,2134,1898,236,138,0.9998469998525754,0.9466708489585173,0.031405742539916084,0.48842783457435845,0.0015684225019082418,0.5956507012058087,2997
7,models/regions/catboost_region_7.joblib,524,466,58,103,0.9999950299021073,0.9156729914106263,0.0039130765549796965,0.2763225924715694,2.226751647241106e-05,0.32217841764666366,1744
8,models/regions/catboost_region_8.joblib,548,469,79,119,0.9993755116647961,0.8300416092591495,0.04175988629713031,0.6035959093587008,0.0026182194248941253,0.7403755654089147,884
9,models/regions/catboost_region_9.joblib,10254,9136,1118,165,0.9932508880881175,0.9441785062383079,0.1116041526829076,0.2588803724367444,0.022234570825946636,0.1804338427327133,2997
10,models/regions/catboost_region_10.joblib,3926,3389,537,144,0.9993106425030984,0.9469234075476104,0.059973676633835966,0.39949809288257554,0.0056642654585566604,0.4269511006461394,2999
11,models/regions/catboost_region_11.joblib,1289,1141,148,159,0.999748094443574,0.8873623402650697,0.027865513505435608,0.4917884743031045,0.00119702006945562,0.5052139157976996,1919
12,models/regions/catboost_region_12.joblib,4677,4188,489,172,0.9988197842137437,0.9457557113392101,0.06263106480268558,0.35056230898408264,0.006375602684530518,0.30673951273798256,2997
13,models/regions/catboost_region_13.joblib,1003,888,115,168,0.9999198785770772,0.877375030010891,0.021849081108107505,0.7391356317771836,0.0007472775696943191,1.2750930552914894,2530
14,models/regions/catboost_region_14.joblib,7742,6916,826,157,0.9954167858473759,0.9158657418378293,0.1266016306648603,0.39301083204903337,0.02786172139521537,0.5162496029884834,2998
15,models/regions/catboost_region_15.joblib,1223,1099,124,156,0.999989823767859,0.9228388246151756,0.005998545616808744,0.4770463016746985,5.608480973487069e-05,0.49355506544999406,2996
16,models/regions/catboost_region_16.joblib,379,331,48,109,0.9999999075563549,0.9271628600242672,0.0005960875388187533,0.3730461082386591,5.048303605070495e-07,0.23796440435956767,2354
17,models/regions/catboost_region_17.joblib,803,716,87,147,0.9997828710698315,0.9144333984493381,0.030131439303101522,0.4855584286980839,0.0013539906618682015,0.46375872477155256,1399
18,models/regions/catboost_region_18.joblib,1164,977,187,148,0.999990040561215,0.9019932987946552,0.005295542403706627,0.4890119412491184,4.2071701797490975e-05,0.5385305720122008,2995
19,models/regions/catboost_region_19.joblib,500,440,60,130,0.9999990863250307,0.802627207771849,0.0016191468207697255,0.7090789611781173,3.865724992466635e-06,0.9693491648056326,2395
20,models/regions/catboost_region_20.joblib,508,448,60,205,0.9999999937840164,0.8642874734134218,0.00016711915819698519,0.7461501149918849,3.87012564346115e-08,0.8602304368556087,2992
21,models/regions/catboost_region_21.joblib,2663,2332,331,180,0.9997330827914238,0.9250414753976104,0.03467258630740812,0.47896087936926185,0.0018434917092180043,0.5540393186416179,2997
22,models/regions/catboost_region_22.joblib,152,120,32,171,0.9999999134391498,0.574057822060877,0.0006945299660962764,1.1901349724393657,6.443369528676461e-07,3.5806355919365784,1036
