iter	RMSE
0	2.740985714
1	2.690336513
2	2.643125862
3	2.597488554
4	2.552258666
5	2.507142129
6	2.464326225
7	2.421969698
8	2.383772276
9	2.344964938
10	2.308226824
11	2.271125946
12	2.237128165
13	2.202973745
14	2.170866075
15	2.139064895
16	2.108441707
17	2.079215781
18	2.050830099
19	2.025152949
20	1.999163903
21	1.974626635
22	1.949297935
23	1.925655226
24	1.902936462
25	1.87999224
26	1.856405562
27	1.835756101
28	1.814651461
29	1.795522711
30	1.775211099
31	1.7575647
32	1.7389253
33	1.720699101
34	1.70321439
35	1.68682121
36	1.670775522
37	1.656304939
38	1.641314077
39	1.626475306
40	1.612224174
41	1.598450099
42	1.584481925
43	1.571502017
44	1.558660856
45	1.546910707
46	1.535313107
47	1.523303914
48	1.51212803
49	1.50151607
50	1.490907064
51	1.480599555
52	1.469520647
53	1.460329185
54	1.450570146
55	1.440781399
56	1.432485517
57	1.423339871
58	1.413977361
59	1.405381916
60	1.39729659
61	1.389801349
62	1.382031406
63	1.373675126
64	1.366132196
65	1.357700496
66	1.350898176
67	1.343705825
68	1.336533615
69	1.329881605
70	1.322958496
71	1.316592292
72	1.310136248
73	1.304367434
74	1.297962951
75	1.291632198
76	1.285472392
77	1.278815495
78	1.273373224
79	1.267858484
80	1.262040792
81	1.256797206
82	1.251477055
83	1.246103813
84	1.241069562
85	1.236042836
86	1.231182756
87	1.226436533
88	1.221663658
89	1.21702444
90	1.212267552
91	1.207832616
92	1.203444609
93	1.198925312
94	1.194632526
95	1.190382431
96	1.186403409
97	1.182433773
98	1.178430782
99	1.174469122
100	1.170508348
101	1.166697101
102	1.162931703
103	1.15930794
104	1.155808114
105	1.15214151
106	1.148894703
107	1.145365233
108	1.142254373
109	1.139085769
110	1.136043605
111	1.132702403
112	1.1292744
113	1.126231567
114	1.123205713
115	1.119905193
116	1.11703962
117	1.114031562
118	1.1108917
119	1.108454048
120	1.105645349
121	1.102644921
122	1.099452281
123	1.096609297
124	1.093917054
125	1.091150485
126	1.088725596
127	1.086302295
128	1.083975753
129	1.081503374
130	1.079121039
131	1.076477693
132	1.074028671
133	1.071418603
134	1.068869314
135	1.066374924
136	1.063969824
137	1.061583422
138	1.059307748
139	1.056450554
140	1.054186216
141	1.051891763
142	1.049304733
143	1.047002259
144	1.044815241
145	1.042771832
146	1.040373287
147	1.03849963
148	1.036482894
149	1.034367754
150	1.032436819
151	1.030510305
152	1.028143835
153	1.026263237
154	1.024277727
155	1.022179084
156	1.020276085
157	1.018655185
158	1.017005485
159	1.014964517
160	1.013052138
161	1.011432353
162	1.009542576
163	1.007773276
164	1.00613459
165	1.004551329
166	1.002716967
167	1.000981978
168	0.9990709341
169	0.9974316919
170	0.9957312428
171	0.9942150888
172	0.9927198721
173	0.9909999882
174	0.9892395222
175	0.9875786285
176	0.9855679148
177	0.9838901799
178	0.9825117119
179	0.9809453041
180	0.9791894867
181	0.9777181258
182	0.9758550572
183	0.9744745478
184	0.9729023181
185	0.9715296587
186	0.9699305527
187	0.9687099752
188	0.9674273682
189	0.9661680323
190	0.9642741838
191	0.9626771699
192	0.9609245145
193	0.9595554302
194	0.9579129207
195	0.9566042005
196	0.9553448636
197	0.9538806445
198	0.9524330148
199	0.9511079731
200	0.9498997133
201	0.9486686434
202	0.9474367565
203	0.9462759066
204	0.9448380528
205	0.9436058791
206	0.9420636366
207	0.9407606255
208	0.9395822283
209	0.9384568642
210	0.9374054671
211	0.9358705057
212	0.9344593266
213	0.9332865673
214	0.932189244
215	0.9305371549
216	0.9294037175
217	0.9281476694
218	0.9269068071
219	0.9258920014
220	0.9246547666
221	0.923557957
222	0.9224769331
223	0.9209483501
224	0.9197283496
225	0.9184234117
226	0.9174315779
227	0.9163659882
228	0.9153499434
229	0.9143779926
230	0.9133363784
231	0.9122189163
232	0.9112415015
233	0.9102620496
234	0.9091041537
235	0.9080462977
236	0.9069872858
237	0.9061096426
238	0.9051903889
239	0.9042931317
240	0.9033099015
241	0.9022061248
242	0.9013707107
243	0.9004068343
244	0.8995192551
245	0.8984129978
246	0.8970324327
247	0.8958225821
248	0.8950953043
249	0.8941486023
250	0.8928115755
251	0.8919617436
252	0.8907993124
253	0.8895903903
254	0.8883684852
255	0.8873906901
256	0.886493405
257	0.8855769481
258	0.8845087005
259	0.883290761
260	0.8826119559
261	0.8817366181
262	0.8809447433
263	0.879914012
264	0.879096364
265	0.8780686767
266	0.8773297668
267	0.8765841976
268	0.8755467908
269	0.8747327833
270	0.8737723003
271	0.872783391
272	0.8716398113
273	0.8704887115
274	0.8696628692
275	0.8689459374
276	0.8681781888
277	0.8672498788
278	0.8662139416
279	0.8652766874
280	0.864428798
281	0.8636307502
282	0.8629160414
283	0.862192741
284	0.8614034093
285	0.8604651636
286	0.8596390797
287	0.8589199621
288	0.8580392498
289	0.8573795756
290	0.8565737121
291	0.8557852067
292	0.8549109555
