iter	Passed	Remaining
0	98	786048
1	189	757001
2	276	738286
3	367	734838
4	455	729143
5	542	723400
6	625	714389
7	718	717884
8	810	719822
9	898	717573
10	985	715434
11	1065	709544
12	1156	710509
13	1245	710629
14	1335	711039
15	1421	709149
16	1515	711485
17	1609	713633
18	1696	712603
19	1780	710390
20	1866	709290
21	1956	709667
22	2041	707938
23	2132	708634
24	2220	708312
25	2303	706568
26	2391	706290
27	2476	705131
28	2568	706024
29	2652	704573
30	2740	704383
31	2823	703102
32	2920	704967
33	3015	706414
34	3102	706138
35	3192	706214
36	3275	704917
37	3360	704125
38	3444	703169
39	3534	703347
40	3618	702413
41	3706	702336
42	3792	701735
43	3878	701308
44	3962	700436
45	4056	701483
46	4142	701009
47	4225	700070
48	4315	700186
49	4401	699794
50	4487	699361
51	4567	698176
52	4655	698091
53	4747	698580
54	4837	698734
55	4926	698855
56	5022	699943
57	5151	705441
58	5244	705852
59	5334	705946
60	5425	706090
61	5528	707804
62	5611	706961
63	5695	706297
64	5773	704862
65	5856	704000
66	5940	703390
67	6021	702415
68	6099	701055
69	6183	700476
70	6268	700081
71	6352	699494
72	6442	699579
73	6532	699734
74	6622	699768
75	6713	699988
76	6817	701479
77	6912	702039
78	7004	702321
79	7091	702077
80	7182	702212
81	7272	702254
82	7377	703714
83	7463	703381
84	7552	703238
85	7637	702856
86	7718	702027
87	7805	701772
88	7910	703133
89	8007	703745
90	8137	707245
91	8252	709394
92	8356	710442
93	8459	711459
94	8561	712431
95	8653	712493
96	8752	713109
97	8842	713021
98	8933	712961
99	9014	712106
100	9097	711503
101	9173	710339
102	9252	709390
103	9330	708434
104	9408	707400
105	9491	706827
106	9586	707135
107	9661	706035
108	9742	705275
109	9818	704230
110	9915	704690
111	9999	704271
112	10088	704161
113	10163	703084
114	10250	702806
115	10325	701800
116	10402	700847
117	10484	700297
118	10568	699914
119	10646	699144
120	10726	698453
121	10801	697521
122	10879	696735
123	10955	695882
124	11035	695254
125	11111	694366
126	11188	693591
127	11267	692966
128	11345	692279
129	11423	691552
130	11499	690733
131	11576	690001
132	11657	689518
133	11755	690074
134	11835	689543
135	11912	688801
136	11993	688330
137	12071	687731
138	12151	687209
139	12227	686505
140	12298	685475
141	12375	684835
142	12449	684009
143	12529	683543
144	12601	682646
145	12681	682194
146	12762	681802
147	12838	681159
148	12921	680836
149	12998	680271
150	13077	679791
151	13155	679214
152	13235	678826
153	13313	678315
154	13390	677748
155	13469	677250
156	13541	676492
157	13621	676050
158	13702	675715
159	13776	675060
160	13854	674561
161	13940	674489
