HERlvl1Name,IBD_EQR_Status,IBD_min,IBD_max,IBD_mid,HERlvl1Code
ALPES INTERNES,Bad,0.0,9.8,9.3,2
ALPES INTERNES,Poor,9.8,13.225,10.3,2
ALPES INTERNES,Moderate,13.225,17.025,16.15,2
ALPES INTERNES,Good,17.025,18.725,17.9,2
ALPES INTERNES,High,18.725,20.0,19.55,2
ALSACE,Bad,0.0,6.925,5.4,18
ALSACE,Poor,6.925,10.425,8.45,18
ALSACE,Moderate,10.425,14.05,12.4,18
ALSACE,Good,14.05,17.125,15.7,18
ALSACE,High,17.125,20.0,18.55,18
ARDENNES,Bad,0.0,6.7,4.25,22
ARDENNES,Poor,6.7,10.775,9.15,22
ARDENNES,Moderate,10.775,13.75,12.4,22
ARDENNES,Good,13.75,16.725,15.1,22
ARDENNES,High,16.725,20.0,18.35,22
ARMORICAIN,Bad,0.0,6.65,5.15,12
ARMORICAIN,Poor,6.65,10.025,8.15,12
ARMORICAIN,Moderate,10.025,13.5,11.9,12
ARMORICAIN,Good,13.5,16.675,15.1,12
ARMORICAIN,High,16.675,20.0,18.25,12
CAUSSES AQUITAINS,Bad,0.0,6.7,4.1,11
CAUSSES AQUITAINS,Poor,6.7,10.85,9.3,11
CAUSSES AQUITAINS,Moderate,10.85,14.05,12.4,11
CAUSSES AQUITAINS,Good,14.05,17.125,15.7,11
CAUSSES AQUITAINS,High,17.125,20.0,18.55,11
CEVENNES,Bad,0.0,9.975,8.4,8
CEVENNES,Poor,9.975,13.025,11.55,8
CEVENNES,Moderate,13.025,15.8,14.5,8
CEVENNES,Good,15.8,18.1,17.1,8
CEVENNES,High,18.1,20.0,19.1,8
CORSE,Bad,0.0,10.15,8.8,16
CORSE,Poor,10.15,12.975,11.5,16
CORSE,Moderate,12.975,15.75,14.45,16
CORSE,Good,15.75,18.075000000000003,17.05,16
CORSE,High,18.075000000000003,20.0,19.1,16
COTEAUX AQUITAINS,Bad,0.0,6.449999999999999,4.55,14
COTEAUX AQUITAINS,Poor,6.449999999999999,10.375,8.35,14
COTEAUX AQUITAINS,Moderate,10.375,14.05,12.4,14
COTEAUX AQUITAINS,Good,14.05,17.125,15.7,14
COTEAUX AQUITAINS,High,17.125,20.0,18.55,14
COTES CALCAIRES EST,Bad,0.0,5.925000000000001,3.55,10
COTES CALCAIRES EST,Poor,5.925000000000001,10.35,8.3,10
COTES CALCAIRES EST,Moderate,10.35,14.05,12.4,10
COTES CALCAIRES EST,Good,14.05,17.125,15.7,10
COTES CALCAIRES EST,High,17.125,20.0,18.55,10
DEPOTS ARGILO SABLEUX,Bad,0.0,5.75,3.15,20
DEPOTS ARGILO SABLEUX,Poor,5.75,10.375,8.35,20
DEPOTS ARGILO SABLEUX,Moderate,10.375,14.05,12.4,20
DEPOTS ARGILO SABLEUX,Good,14.05,17.125,15.7,20
DEPOTS ARGILO SABLEUX,High,17.125,20.0,18.55,20
DEPRESSIONS SEDIMENTAIRES,Bad,0.0,6.6,5.2,17
DEPRESSIONS SEDIMENTAIRES,Poor,6.6,9.95,8.0,17
DEPRESSIONS SEDIMENTAIRES,Moderate,9.95,13.5,11.9,17
DEPRESSIONS SEDIMENTAIRES,Good,13.5,16.7,15.1,17
DEPRESSIONS SEDIMENTAIRES,High,16.7,20.0,18.3,17
GRANDS CAUSSES,Bad,0.0,7.199999999999999,4.8,19
GRANDS CAUSSES,Poor,7.199999999999999,11.2,9.6,19
GRANDS CAUSSES,Moderate,11.2,14.25,12.8,19
GRANDS CAUSSES,Good,14.25,17.125,15.7,19
GRANDS CAUSSES,High,17.125,20.0,18.55,19
JURA-PREALPES DU NORD,Bad,0.0,9.575,7.699999999999999,5
JURA-PREALPES DU NORD,Poor,9.575,13.225,11.45,5
JURA-PREALPES DU NORD,Moderate,13.225,16.45,15.0,5
JURA-PREALPES DU NORD,Good,16.45,18.725,17.9,5
JURA-PREALPES DU NORD,High,18.725,20.0,19.55,5
LANDES,Bad,0.0,8.325,5.95,13
LANDES,Poor,8.325,12.3,10.7,13
LANDES,Moderate,12.3,15.2,13.9,13
LANDES,Good,15.2,17.65,16.5,13
LANDES,High,17.65,20.0,18.8,13
MASSIF CENTRAL NORD,Bad,0.0,8.9,6.8,21
MASSIF CENTRAL NORD,Poor,8.9,12.675,11.0,21
MASSIF CENTRAL NORD,Moderate,12.675,15.7,14.35,21
MASSIF CENTRAL NORD,Good,15.7,18.075000000000003,17.05,21
MASSIF CENTRAL NORD,High,18.075000000000003,20.0,19.1,21
MASSIF CENTRAL SUD,Bad,0.0,9.125,7.25,3
MASSIF CENTRAL SUD,Poor,9.125,12.675,11.0,3
