SamplingOperations_code,yhat_te
S05169000_20130911,High
S05169000_20200819,High
S05172000_20210813,Good
S05172050_20210824,Good
S05172350_20120827,High
S05172800_20150721,High
S05172800_20160719,High
S05172800_20180816,High
S05172900_20140820,High
S05172920_20220830,High
S05173150_20070808,High
S05173150_20090701,High
S05173150_20150721,High
S05173180_20140717,High
S05173200_20120817,High
S05173200_20190925,Good
S05173200_20200826,High
S05173260_20130828,High
S05173270_20140722,High
S05173280_20220912,Good
S05173350_20150721,High
S05173350_20210927,High
S05173400_20130828,High
S05173420_20170802,High
S05173420_20190926,High
S05173450_20120817,High
S05173450_20140717,High
S05176100_20140611,High
S05176100_20160615,High
S05176150_20210707,High
S05176160_20220727,High
S05176170_20180808,Moderate
S05176170_20210707,High
S05176170_20220727,Good
S05176900_20150609,High
S05176900_20160706,Good
S05178200_20150609,Good
S05178200_20160707,Good
S05178200_20200916,Moderate
S05178900_20200701,High
S05179000_20160913,Good
S05179500_20090702,High
S05179500_20220727,High
S05180210_20150722,High
S05180220_20191008,High
S05180295_20150722,High
S05180550_20130911,High
S05180700_20120910,High
S05180700_20140722,High
S05180700_20160720,High
S05180800_20100630,High
S05180820_20130911,High
S05180820_20161005,High
S05180850_20161005,High
S05180850_20180816,High
S05180850_20190723,High
S05181000_20070807,High
S05181100_20150722,High
S05181130_20210831,Good
S05181200_20120908,Good
S05181200_20161003,High
S05181600_20070807,High
S05181600_20090625,High
S05181800_20090626,High
S05182200_20150723,High
S05183000_20080731,High
S05183000_20190910,High
S05183500_20210817,High
S05183600_20170928,High
S05183600_20210916,High
S05183710_20140729,High
S05183710_20180807,High
S05183710_20200908,High
S05183710_20210928,High
S05183848_20190923,High
S05183850_20190924,Good
S05183860_20170720,High
S05183860_20180808,Good
S05183862_20160804,High
S05183920_20180925,High
S05183930_20160927,Good
S05183970_20080909,High
S05183970_20130910,High
S05199250_20200917,High
S05199450_20171002,Moderate
S05199600_20151001,Good
S05199600_20160906,Good
S05199700_20170928,High
S05199700_20220920,Moderate
S05199750_20210915,High
S05199800_20120919,Good
S05199800_20160908,Good
S05199800_20190921,Moderate
S05199800_20200917,High
S05199800_20210915,High
S05200050_20070803,High
S05200050_20130919,High
S05200115_20130919,High
S05200115_20160921,Moderate
S05200115_20210915,Good
S05200135_20180828,High
S05201060_20130919,Moderate
S05201060_20170927,Good
S05201060_20220921,High
S05203058_20160922,High
S05203060_20171010,High
S05203060_20191003,High
S05203060_20220810,High
S05204880_20140912,High
S05204880_20180906,High
S05204880_20220921,High
S05206180_20220922,High
S05206500_20120907,High
S05206500_20140912,High
S05206880_20200918,Good
S05207050_20170830,High
S05207050_20210819,High
S05207070_20140913,High
S05217150_20080730,High
S05217150_20130921,High
S05217150_20190927,Moderate
S05217310_20150928,High
S05217310_20180824,High
S05217350_20160913,High
S05217400_20080822,High
S05217800_20170824,High
S05218000_20100804,High
S05218250_20141023,Good
S05218450_20150929,High
S05218450_20161006,High
S05218460_20170823,High
S05218500_20110812,High
S05218500_20190925,High
S05218560_20210817,High
S05218620_20150929,High
S05218630_20140909,High
S05218630_20210818,High
S05218700_20090804,High
S05218700_20150929,High
S05218700_20160928,High
S05218700_20161007,High
S05218700_20180912,High
S05234290_20150804,High
S05234290_20170801,High
S05236000_20150804,High
S05236000_20200811,High
S05236100_20150805,High
S05238500_20171102,Good
S06165190_20140915,High
S06166990_20090702,High
S06166990_20110525,High
S06166990_20140707,High
S06166990_20220822,Good
S06169880_20100805,Good
S06169950_20200917,High
S06170000_20180926,Good
S06170180_20140813,Good
S06172930_20160719,High
S06172930_20170704,High
S06175400_20171207,High
S06175500_20080708,High
S06175500_20140728,Good
S06175517_20160901,High
S06175540_20090629,High
S06175540_20100701,High
S06175540_20130806,Good
S06175540_20140730,High
S06175540_20150728,High
S06175600_20170904,High
S06175600_20180926,High
S06175645_20220809,High
S06175840_20090624,Good
