region,SamplingOperations_code,y_true,oof_pred,yhat_te,y_filled,proba_Bad,proba_Good,proba_High,proba_Moderate,proba_Poor
1,S05168100_20070809,High,High,,High,,,,,
1,S05168100_20080806,High,High,,High,,,,,
1,S05168100_20090625,High,High,,High,,,,,
1,S05168100_20100629,High,High,,High,,,,,
1,S05168100_20110809,High,High,,High,,,,,
1,S05168100_20120816,High,High,,High,,,,,
1,S05168100_20130911,High,High,,High,,,,,
1,S05168100_20140717,High,High,,High,,,,,
1,S05168100_20150721,High,High,,High,,,,,
1,S05168100_20160719,High,High,,High,,,,,
1,S05168100_20170726,High,High,,High,,,,,
1,S05168100_20180919,High,High,,High,,,,,
1,S05168100_20190627,High,High,,High,,,,,
1,S05168100_20210729,High,High,,High,,,,,
1,S05168100_20220629,High,High,,High,,,,,
1,S05168600_20160822,Good,Good,,Good,,,,,
1,S05168600_20170829,Moderate,Moderate,,Moderate,,,,,
1,S05169000_20070802,High,High,,High,,,,,
1,S05169000_20080806,High,High,,High,,,,,
1,S05169000_20090708,High,High,,High,,,,,
1,S05169000_20100628,High,High,,High,,,,,
1,S05169000_20110808,Good,Good,,Good,,,,,
1,S05169000_20120816,High,High,,High,,,,,
1,S05169000_20140716,High,High,,High,,,,,
1,S05169000_20150720,High,High,,High,,,,,
1,S05169000_20160718,High,High,,High,,,,,
1,S05169000_20170727,High,High,,High,,,,,
1,S05169000_20180927,High,High,,High,,,,,
1,S05169000_20190626,High,High,,High,,,,,
1,S05169000_20210823,High,High,,High,,,,,
1,S05169000_20220825,High,High,,High,,,,,
1,S05169050_20130911,High,High,,High,,,,,
1,S05169050_20140716,High,High,,High,,,,,
1,S05169050_20150721,High,High,,High,,,,,
1,S05169050_20160921,High,High,,High,,,,,
1,S05169050_20170829,High,High,,High,,,,,
1,S05169050_20180828,High,High,,High,,,,,
1,S05169050_20190715,High,High,,High,,,,,
1,S05169050_20200818,High,High,,High,,,,,
1,S05169050_20210823,High,High,,High,,,,,
1,S05169050_20220825,Good,Good,,Good,,,,,
1,S05172000_20160906,Good,Good,,Good,,,,,
1,S05172000_20170906,Good,Good,,Good,,,,,
1,S05172000_20180827,High,High,,High,,,,,
1,S05172000_20191010,Good,Good,,Good,,,,,
1,S05172000_20221012,Good,Good,,Good,,,,,
1,S05172050_20220629,Moderate,Moderate,,Moderate,,,,,
1,S05172220_20160721,High,High,,High,,,,,
1,S05172220_20170726,Moderate,Moderate,,Moderate,,,,,
1,S05172220_20180920,Good,Good,,Good,,,,,
1,S05172220_20190628,Good,Good,,Good,,,,,
1,S05172220_20200720,Good,Good,,Good,,,,,
1,S05172220_20210824,Moderate,Moderate,,Moderate,,,,,
1,S05172220_20220830,Good,Good,,Good,,,,,
1,S05172350_20070809,High,High,,High,,,,,
1,S05172350_20080806,High,High,,High,,,,,
1,S05172350_20090625,High,High,,High,,,,,
1,S05172350_20100629,High,High,,High,,,,,
1,S05172350_20110810,High,High,,High,,,,,
1,S05172350_20130911,High,High,,High,,,,,
1,S05172350_20140717,High,High,,High,,,,,
1,S05172350_20150721,High,High,,High,,,,,
1,S05172350_20160721,High,High,,High,,,,,
1,S05172350_20170725,High,High,,High,,,,,
1,S05172350_20180920,High,High,,High,,,,,
