,s_tilde
Achaa01,17.04064818186349
Achac01,15.909265705347446
Achaf01,16.851164946312718
Achaf02,19.94325565437793
Achal01,18.376548846717853
Acham01,13.165854369260611
Achan01,18.404798266422727
Achat01,14.460213592786646
Achat02,19.990627932507515
Achat03,18.76155350979449
Achba01,18.023442761746004
Achbi01,15.498344616603347
Achbi02,15.23939380462582
Achbr01,10.430958827765672
Achca01,11.12937837133693
Achca02,19.882339334075255
Achca03,17.155275551549202
Achca04,19.286816473967512
Achch01,8.05882707842742
Achcl01,8.900308655692436
Achco01,9.382900991187979
Achco02,16.433397330997323
Achco03,16.103594868116303
Achco04,19.076004091161987
Achcr01,17.249498792925202
Achcy01,18.547731191827314
Achda01,19.493336755320513
Achda02,18.630837471400316
Achde01,16.896336816094436
Achde02,4.717307008840673
Achde03,15.991320240571131
Achdi01,12.914342099421468
Achdi02,15.115415536619034
Achdr01,17.32810140729509
Achel01,7.172364317721573
Achen01,9.727834308157362
Acheu01,16.68423752641899
Achex01,13.372311142678843
Achex02,19.106543180443726
Achex03,10.26042865804486
Achfl01,9.992247315848433
Achfr01,18.56796157044431
Achfu01,9.86792349369558
Achge01,16.73573530617782
Achgr01,6.707229024332231
Achgr02,17.171102308901894
Achgr03,12.62170675563534
Achha01,4.86270195958362
Achhe01,8.684070349943486
Achhi01,18.69542903903813
Achho01,16.681079589254114
Achho02,14.924423815506263
Achho03,19.962253630023998
Achhu01,4.919084186007256
Achim01,8.728376056439789
Achim02,11.26298931156997
Achim03,17.5797793893507
Achin01,15.297747725769177
Achin02,11.831647136094313
Achja01,18.64971522150205
Achja02,18.00699215867966
Achjo01,18.539886063335782
Achko01,14.610898534976265
Achkr01,18.022278713222065
Achkr02,18.832321420276063
Achkr03,18.774731586709297
Achkr04,5.309202445141016
Achku01,7.71707635944928
Achla01,15.27155253139828
Achla02,13.229221997354836
Achla03,14.432567437930784
Achla04,12.899724704412556
Achla05,17.18823490797065
Achla06,17.21853462915594
Achle01,14.876442848136382
Achle02,16.02478377220005
Achli01,18.047103331570533
Achli02,15.634130417492841
Achli03,19.999952898481563
Achli04,3.6552353406770175
Achlo01,14.47790127764715
Achlu01,18.38476767656989
Achlu02,16.70507261569564
Achma01,16.238312770846058
Achmi01,3.0034023072312386
Achmi02,19.999999999999996
Achmi03,19.807403265450994
Achmo01,6.932913274897607
Achmo02,5.838784630440943
Achna01,10.48336716934379
Achna02,14.699805244789934
Achne01,18.491281068054747
Achni01,18.12097848579883
Achno01,16.0927734375
Achob01,19.996864933205885
Achpa01,5.8906289894565855
Achpe01,16.65096709930567
Achpe02,15.279977961774076
Achpf01,18.355449598063164
Achpl01,14.65674677537919
Achpo01,18.24464330133585
Achpr01,15.542406534642392
Achpr02,1.342720128204871
Achps01,7.316582738796552
Achps02,18.644910256771624
Achps03,9.861284008495353
Achps04,16.469472692284988
Achpu01,14.570320222634207
Achpy01,19.999999999999996
Achre01,18.477140202713535
Achri01,19.999999999683325
Achro01,7.557888706917246
Achro02,18.702020615110577
Achro03,12.288104511186711
Achro04,18.300046360904485
Achru01,9.78436885336125
Achru02,11.308883902590017
Achsa01,17.42928845867122
Achsc01,18.97097256386315
Achse01,11.868310768492268
Achse02,15.358865264381368
Achsi01,15.508248223327273
Achst01,15.489451061777103
Achst02,8.5814642443167
Achst03,19.832057211753536
Achst04,15.439099845882428
Achsu01,19.999934566638462
Achsu02,10.560974774707814
Achsu03,19.999719258030886
Achsu04,15.00923672655028
Achsu05,17.58979507671897
Achsu06,19.100678787686466
Achsu07,16.6894325865986
Achte01,17.737049004043904
Achth01,19.742324445417015
Achtr01,13.69190176756697
Achtr02,10.864233195281857
Achtr03,17.14929753377914
Achtu01,19.997909063575495
Achzh01,19.160795604540976
Achzi01,12.038741730220119
Actde01,16.357421875
Actno01,14.717745059418231
Actro01,15.223590996293197
Actse01,5.0880024731125495
Actsp01,12.732892483664271
Actsu01,4.806654172417942
Actvu01,14.07454356962533
Adlaq01,5.36083984375
Adlba01,14.254313597598921
Adlbr01,11.877775736938732
Adlbr02,18.32933101029058
Adlmi01,18.203352052540268
Adlmu01,14.058712862575947
Adlmu02,12.092698481244508
Adlpa01,7.222512470662535
Adlsu01,16.845131744722284
Afrre01,17.185663390905177
Ampae01,5.164988525716372
Ampaf01,14.45461392232079
Ampal01,2.8106228198721235
Ampat01,7.83470107237649
Ampbi01,4.561264793925701
Ampbu01,3.088916115032875
Ampco01,5.413562606235843
Ampcu01,18.46084639561069
Ampde01,1.000014176138849
Ampdi01,2.6324721402645226
Ampdi02,12.447020007963893
Ampdu01,3.503013032828255
Ampei01,8.413328238406445
Ampex01,8.407717864491428
Ampfo01,9.903080263208215
Ampfo02,2.111382208223603
Amphe01,1.1454373217177374
Amphi01,18.791291671840696
Ampin01,18.561056051407352
Ampin02,17.729025071648987
Ampli01,5.456352195031846
Ampma01,16.313827951182418
Ampme01,14.831750919265806
Ampmi01,11.296266379142933
Ampmi02,15.46415263858366
Ampmo01,4.465239278220757
Ampne01,2.240417708373036
Ampne02,18.67422849890953
Ampno01,5.1266563320557355
Ampol01,17.332341482991527
Ampov01,13.78363651969319
Amppa01,12.919919977839465
Amppe01,17.257675688508144
Amppe02,19.589947495920317
Amppo01,12.860128292493458
Amppo02,1.8546279643015824
Amppr01,7.193740638735122
Ampps01,11.866315645031392
Ampri01,6.843586697060227
Ampst01,12.228097554490674
Ampst02,9.34840314248719
Ampsu01,16.7136210117644
Ampsu02,4.4347778471675
Ampsu03,1.3248541030608598
Ampsu04,9.794793397070244
Amptu01,14.223570460124902
Ampve01,1.4440149011289176
Ampve02,13.23387212303133
Ampvi01,6.371084226485488
Anaba01,10.63067803649859
Anemi01,7.723333130274485
Anetu01,7.79281153279855
Anoeu01,15.565125941728029
Anoga01,18.153384399861974
Anoin01,15.73044417628033
Anosp01,13.058180847286994
Astfo01,17.936363961619694
Aulal01,10.166404522259468
Aulam01,16.301934933335975
Aulbr01,5.741495300947862
Aulcr01,10.310240589807853
Aulcr02,4.013033261362897
Auldi01,13.603904425977294
Aulgr01,7.811550674409356
Aulis01,10.39886684145786
Aulit01,4.6765720645099575
Aulli01,9.514575518903053
Aulni01,15.280686172388851
Aulpa01,14.57913357617202
Aulps01,2.4820081612663007
Aulps02,16.630278032436475
Aulsu01,9.417730389786339
Aulsu02,18.07388328281786
Aulte01,16.750894385277398
Aulva01,5.023929880965613
Azpno01,15.101973007024116
Bacci01,18.420231931611955
Bacpa01,2.4742087141279256
Bacul01,7.635848748765285
