iter	RMSE
0	2.754489573
1	2.716823869
2	2.680075914
3	2.644402233
4	2.609419891
5	2.575368464
6	2.542037488
7	2.509704185
8	2.478067526
9	2.447393616
10	2.417256545
11	2.387882032
12	2.358769205
13	2.330416766
14	2.302630946
15	2.276028039
16	2.24964309
17	2.223937291
18	2.198283452
19	2.173219315
20	2.149045643
21	2.12554573
22	2.101756463
23	2.078962279
24	2.056655405
25	2.034188635
26	2.012904278
27	1.992301883
28	1.970866151
29	1.949906893
30	1.92960803
31	1.910066005
32	1.89090053
33	1.871604527
34	1.853221736
35	1.834566209
36	1.816171472
37	1.79943621
38	1.781771894
39	1.765060869
40	1.748440679
41	1.732589695
42	1.716819643
43	1.701837034
44	1.686136478
45	1.671314578
46	1.656708989
47	1.642965673
48	1.629489368
49	1.615317311
50	1.602308042
51	1.589188275
52	1.576505924
53	1.564283262
54	1.552265127
55	1.539738034
56	1.527894479
57	1.516545694
58	1.505285691
59	1.493738917
60	1.482971538
61	1.471955109
62	1.461414188
63	1.451617458
64	1.441556766
65	1.431211571
66	1.42162663
67	1.412560247
68	1.403078515
69	1.393981671
70	1.385054634
71	1.375983677
72	1.366414147
73	1.35806366
74	1.349779884
75	1.341472958
76	1.332254407
77	1.323207647
78	1.314805806
79	1.306091227
80	1.298616329
81	1.291199887
82	1.28359476
83	1.275963278
84	1.268575684
85	1.261672571
86	1.254149475
87	1.246900134
88	1.240183782
89	1.232672317
90	1.225147914
91	1.218395397
92	1.212021018
93	1.205900854
94	1.199992696
95	1.193733736
96	1.187721276
97	1.181703718
98	1.175320556
99	1.169259882
100	1.163655992
101	1.158445823
102	1.152662351
103	1.147235733
104	1.141812063
105	1.136281119
106	1.131287429
107	1.125776694
108	1.121010206
109	1.116182158
110	1.111244266
111	1.106501635
112	1.101554493
113	1.096780875
114	1.092414161
115	1.088086944
116	1.083597413
117	1.079182921
118	1.074312114
119	1.070104241
120	1.065888884
121	1.061803303
122	1.05727399
123	1.053231309
124	1.049146259
125	1.045550404
126	1.041608341
127	1.037948496
128	1.034389643
129	1.030635965
130	1.027098521
131	1.023483722
132	1.01992068
133	1.016416425
134	1.012719942
135	1.009354318
136	1.005892225
137	1.002543744
138	0.9993880266
139	0.996573291
140	0.9931842751
141	0.9901158621
142	0.9868280566
143	0.9840470507
144	0.9809811324
145	0.9777939238
146	0.9747428765
147	0.9718375297
148	0.968808074
149	0.9659476236
150	0.9628211863
151	0.9601893007
152	0.9574208647
153	0.9546389531
154	0.9521360189
155	0.949546043
156	0.946646143
157	0.9441305189
158	0.9415776559
159	0.9392110869
160	0.9367940844
161	0.9344440895
162	0.9319468059
163	0.9295614087
164	0.927255403
165	0.9248951797
166	0.9225932055
167	0.9202850836
168	0.9180083211
169	0.915761928
170	0.913490872
171	0.9111339605
172	0.9089140796
173	0.9068159715
174	0.9045818766
175	0.9026878154
176	0.9007527445
177	0.8987168923
178	0.8966527199
179	0.8945911009
180	0.8924564077
181	0.8905527164
182	0.8886300651
183	0.8868533874
184	0.8849917442
185	0.883190896
186	0.8814352965
187	0.8796788943
188	0.8777900851
189	0.8758675685
190	0.8741572635
191	0.8724009049
192	0.8706801861
193	0.8689071514
194	0.8671903045
195	0.8655347706
196	0.8639412395
197	0.8621666693
198	0.8605408546
199	0.8588632649
200	0.8572476057
201	0.855727023
202	0.854183187
203	0.8526580332
204	0.8510005675
205	0.849436267
206	0.8479701147
207	0.8463574433
208	0.8449856414
209	0.8435810528
210	0.842047956
211	0.8404735801
212	0.8390801113
213	0.8377751893
214	0.8363115361
215	0.834964571
216	0.8336491202
217	0.8323929345
218	0.8308752894
219	0.8296511613
220	0.8284450299
221	0.8271741938
222	0.8258788761
223	0.8245625767
224	0.8232516058
225	0.82185561
226	0.8206341699
227	0.8194126324
228	0.8179357965
229	0.8167104975
230	0.8154120822
231	0.8139213231
232	0.8128412107
233	0.8117932649
234	0.8106884197
235	0.8095492849
236	0.808491666
237	0.8074053451
238	0.8062097218
239	0.8050052782
240	0.8039610585
241	0.8026985954
242	0.8015045084
243	0.8005226728
244	0.7994854391
245	0.7984342531
246	0.7972900644
247	0.7963435651
248	0.7951328873
249	0.794209613
250	0.79326978
251	0.7921547471
252	0.7911275935
253	0.7901547634
254	0.7891877211
255	0.7883566609
256	0.7871744472
257	0.786302463
258	0.7852491862
259	0.7843634596
260	0.7832519452
261	0.782224907
262	0.7813303014
263	0.7801257174
264	0.7793775762
265	0.7784725867
266	0.7772483473
