SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S02000010_20080811,6.701727165501005e-48,0.9989589089928061,0.0010285292759610247,1.256173123283284e-05,4.1572891619924943e-51,Good,0.994868890366273,0.008258202377375998,12
S02000010_20100719,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02000010_20150811,1.1161259243242235e-68,2.3155346095846157e-17,1.0,2.3487379383118487e-20,2.714555653514762e-19,Moderate,0.9999999999313275,1.1052408446371418e-10,12
S02000010_20160825,1.2318207833167126e-29,0.999987140232631,9.564677031240021e-12,1.2859757804382222e-05,1.4652382094087466e-70,Good,0.999902028555053,0.00015767895783371552,11
S02000010_20170703,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02000011_20100719,1.923168919182468e-38,0.9998831324112838,1.343788320953848e-07,0.00011673320988411117,5.98859860529912e-57,Good,0.9992692613002319,0.0011760785674896955,12
S02000011_20160719,1.8188050682349815e-29,0.9999900561105647,3.396337006414577e-07,9.604255734688886e-06,9.317647247806987e-56,Good,0.9999217343135157,0.0001259637630704418,11
S02000011_20210823,4.631037818295196e-39,0.9999932801080174,4.976037655932177e-10,6.7193943789500924e-06,7.996324269077339e-60,Good,0.9999460917291582,8.676201488668926e-05,12
S02001000_20160720,1.6887049107966402e-86,3.452487047380974e-81,7.690632515105967e-23,4.9436948289915404e-55,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,11
S02001016_20080811,1.0810433454547919e-94,1.7410202964207318e-24,0.9999998771262888,2.7748412495076213e-28,1.2287371116181644e-07,Moderate,0.9999987087812242,2.078136450942382e-06,12
S02001016_20200707,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02001025_20110723,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02001025_20160720,1.2318207833167126e-29,0.999987140232631,9.564677031240021e-12,1.2859757804382222e-05,1.4652382094087466e-70,Good,0.999902028555053,0.00015767895783371552,11
S02001025_20190717,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
