CodeSite_SamplingOperations_x,Date_SamplingOperation,IBD,IBD_EQR,IBD_EQR_Status,Longitude_Lambert93,Latitude_Lambert93,Watershed,HERlvl1Name,Streamsize
S02000990,2010-07-19,14.5,0.7894736842105262,Good,1040367.0,6728003.0,Rhin-Meuse,ALSACE,TP
S02000008,2017-07-03,9.6,0.5029239766081871,Poor,1039055.0,6721258.0,Rhin-Meuse,ALSACE,TP
S02000008,2020-07-08,8.0,0.4093567251461988,Poor,1039055.0,6721258.0,Rhin-Meuse,ALSACE,TP
S02000010,2007-09-06,14.3,0.7777777777777778,Moderate,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2007-09-06,15.2,0.830409356725146,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2008-08-11,14.65,0.7982456140350878,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2008-08-11,17.7,0.9766081871345028,High,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2009-07-21,16.4,0.9005847953216373,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2009-07-21,15.0,0.8187134502923976,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2010-07-19,15.5,0.8479532163742689,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2010-07-19,16.2,0.8888888888888888,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2011-07-23,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2011-07-23,16.0,0.8771929824561403,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2012-08-01,16.5,0.9064327485380116,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2012-08-01,16.7,0.91812865497076,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2013-08-19,15.2,0.830409356725146,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2013-08-19,12.3,0.6608187134502924,Moderate,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2014-10-07,15.5,0.8479532163742689,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2014-10-07,15.7,0.8596491228070174,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2015-08-11,14.6,0.7953216374269005,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2015-08-11,15.475,0.8464912280701753,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2016-07-19,14.85,0.8099415204678362,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2016-08-25,15.45,0.8450292397660818,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2017-07-03,15.425,0.8435672514619883,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2017-07-04,15.1,0.8245614035087718,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2018-07-16,14.6,0.7953216374269005,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2018-07-16,15.4,0.8421052631578947,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2019-07-17,14.5,0.7894736842105262,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2019-09-24,13.8,0.7485380116959064,Moderate,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2020-07-07,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2020-07-07,15.8,0.8654970760233918,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2021-08-23,15.9,0.871345029239766,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2021-08-23,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2007-09-06,15.2,0.830409356725146,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2007-09-06,14.3,0.7777777777777778,Moderate,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2008-08-11,17.7,0.9766081871345028,High,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2008-08-11,14.65,0.7982456140350878,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2009-07-21,16.4,0.9005847953216373,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2009-07-21,15.0,0.8187134502923976,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2010-07-19,16.2,0.8888888888888888,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2010-07-19,15.5,0.8479532163742689,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2011-07-23,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2011-07-23,16.0,0.8771929824561403,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2012-08-01,16.7,0.91812865497076,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2012-08-01,16.5,0.9064327485380116,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2013-08-19,12.3,0.6608187134502924,Moderate,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2013-08-19,15.2,0.830409356725146,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2014-10-07,15.7,0.8596491228070174,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2014-10-07,15.5,0.8479532163742689,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2015-08-11,15.475,0.8464912280701753,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2015-08-11,14.6,0.7953216374269005,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2016-07-19,14.85,0.8099415204678362,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2016-08-25,15.45,0.8450292397660818,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2017-07-03,15.425,0.8435672514619883,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2017-07-04,15.1,0.8245614035087718,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
