SamplingOperations_code,IBD_hat
S05235850_20070709,18.948364
S05113000_20070723,13.221741
S05111500_20070724,13.799393
S05082000_20070724,13.021229
S05025600_20070725,13.41203
S05086000_20070725,14.686314
S05030000_20070725,13.410445
S05035200_20070726,14.221309
S05048000_20070726,15.222413
S05153950_20070727,14.5229845
S05191000_20070727,14.983664
S05225100_20070727,14.381979
S05077950_20070727,13.893702
S05111620_20070727,13.728364
S05041000_20070728,16.504747
S05031850_20070728,15.008182
S02115725_20070730,14.028636
S02115660_20070730,13.529367
S02115800_20070731,14.721669
S05192320_20070731,18.082973
S05089090_20070801,15.506908
S05230500_20070801,15.110601
S05214320_20070801,16.025757
S02106430_20070801,14.13554
S02124000_20070801,15.096192
S02115675_20070802,13.59896
S05220920_20070802,15.201321
S05206000_20070802,19.179153
S02115685_20070802,13.625992
S05204200_20070802,17.489376
S05109020_20070802,14.028179
S05111000_20070802,18.974226
S05200050_20070803,18.839388
S05164000_20070803,14.495058
S05174000_20070803,14.520795
S05151000_20070803,19.189
S02041750_20070804,12.713185
S05145410_20070806,16.292456
S05165255_20070806,16.074345
S05176000_20070806,16.906448
S05175800_20070806,16.511177
S05026000_20070807,13.341323
S05076000_20070807,15.099841
S05181600_20070807,19.87939
S05181000_20070807,19.608786
S02032000_20070807,14.11654
S02017000_20070808,12.691469
S05173150_20070808,19.710285
S05167450_20070809,15.485909
S05167950_20070809,15.448082
S05171900_20070810,17.820078
S05096050_20070811,17.907251
S05145300_20070813,17.30093
S05158150_20070813,13.205886
S05068020_20070814,18.482351
S05130000_20070814,12.7171
S05159000_20070814,13.335755
S05156950_20070814,12.707308
S05093300_20070815,13.599286
S02094920_20070821,13.339971
S05142100_20070823,14.398106
S05135000_20070824,15.812029
S05140000_20070824,16.922499
S05135100_20070824,15.988976
S05120085_20070825,14.526292
S05123000_20070825,14.0918455
S05131200_20070825,12.510349
S05124000_20070825,14.167596
S05125000_20070825,13.841076
S05132000_20070825,13.606149
S05122000_20070826,14.387629
S02059500_20070827,13.332653
S05015100_20070828,15.124384
S05022450_20070828,14.4347105
S02070000_20070829,11.8233185
S02057000_20070829,11.618438
S05000150_20070830,14.800604
S05013100_20070830,15.119738
S02067400_20070830,13.598883
S05001600_20070830,13.918063
S02085600_20070831,14.111262
S02085325_20070831,13.504125
S02079000_20070831,12.109894
S05223160_20070903,13.119982
S05226030_20070903,15.423807
S05223130_20070903,13.454443
S05230990_20070903,13.890792
S02088000_20070903,12.282195
