,IBD_EQR_Status
0,Moderate
1,Good
2,Moderate
3,Good
4,Good
5,Good
6,Moderate
7,Good
8,Poor
9,Moderate
10,Good
11,Good
12,Good
13,Good
14,Good
15,Good
16,Good
17,Good
18,Good
19,Good
20,High
21,High
22,High
23,Good
24,Good
25,Good
26,Good
27,Good
28,High
29,Good
30,Good
31,Moderate
32,Moderate
33,Poor
34,Moderate
35,Poor
36,Good
37,Good
38,Poor
39,Moderate
40,Poor
41,Poor
42,Good
43,Moderate
44,Poor
45,Moderate
46,Moderate
47,Moderate
48,Moderate
49,Good
50,Moderate
51,Moderate
52,Good
53,Moderate
54,Moderate
55,High
56,High
57,Moderate
58,Good
59,High
60,Moderate
61,Good
62,Moderate
63,Moderate
64,Good
65,Good
66,Good
67,Poor
68,Bad
69,Good
70,Moderate
71,Moderate
72,Poor
73,Good
74,Bad
75,Moderate
76,Moderate
77,Moderate
78,Moderate
79,High
80,Good
81,Good
82,Moderate
83,Poor
84,Moderate
85,Good
86,Good
87,Moderate
88,High
89,High
90,Moderate
91,Poor
92,Moderate
93,Good
94,Good
95,Poor
96,Moderate
97,Moderate
98,Poor
99,Moderate
100,Poor
101,Moderate
102,Moderate
103,Poor
104,Poor
105,Good
106,Good
107,Good
108,Moderate
109,Moderate
110,Moderate
111,Bad
112,Moderate
113,Moderate
114,Moderate
115,Poor
116,Good
117,Moderate
118,Moderate
119,Poor
120,Good
121,Moderate
122,Moderate
123,Moderate
124,Moderate
125,High
126,Good
127,High
128,Good
129,Good
130,Good
131,High
132,Good
133,Moderate
134,Moderate
135,Good
136,Moderate
137,Moderate
138,High
139,Good
140,Moderate
141,Moderate
142,Moderate
143,Moderate
144,Moderate
145,Moderate
146,Moderate
147,Moderate
148,Moderate
149,Good
150,High
151,Good
152,Moderate
153,Moderate
154,Moderate
155,Moderate
156,Poor
157,Moderate
158,Moderate
159,Moderate
160,Good
161,Moderate
162,Moderate
163,Moderate
164,Good
165,Moderate
166,Moderate
167,Moderate
168,Moderate
169,Moderate
170,Moderate
171,Good
172,Moderate
173,Moderate
174,Good
175,Good
176,Moderate
177,Moderate
178,Moderate
179,Moderate
180,Moderate
181,Moderate
182,Moderate
183,Moderate
184,Moderate
185,Moderate
186,Moderate
187,Moderate
188,Moderate
189,Moderate
190,Moderate
191,Moderate
192,Good
193,Moderate
194,Moderate
195,Moderate
196,Poor
197,Moderate
198,Moderate
199,Bad
200,Moderate
201,Good
202,Moderate
203,Moderate
204,Moderate
205,Moderate
206,Moderate
207,Good
208,Moderate
209,Moderate
210,Moderate
211,Moderate
212,Good
213,Good
214,High
215,High
216,Moderate
217,High
218,High
219,Good
220,Good
221,Moderate
222,Good
223,Good
224,Moderate
225,Moderate
226,Good
227,Moderate
228,Good
229,Good
230,Good
231,High
232,Good
233,High
234,Moderate
235,Moderate
236,Good
237,Good
238,Good
239,Good
240,High
241,High
242,High
243,Moderate
244,High
245,High
246,Good
247,Good
248,High
249,Moderate
250,Moderate
251,High
252,Moderate
253,Moderate
254,Moderate
255,Moderate
256,Moderate
257,Good
258,Bad
259,Poor
260,Bad
261,Moderate
262,Moderate
263,Moderate
264,Moderate
265,Good
266,Moderate
267,Good
268,Moderate
269,Poor
270,Moderate
271,Good
272,Good
273,Moderate
274,Good
275,Good
276,Good
277,Good
278,Good
279,Moderate
280,Good
281,Moderate
282,Moderate
283,High
284,Moderate
285,Moderate
286,Good
287,High
288,Moderate
289,Moderate
290,Moderate
291,Moderate
292,Moderate
293,Moderate
294,High
295,Good
296,Good
297,High
298,Good
299,High
300,Moderate
301,Moderate
302,Moderate
303,Moderate
304,Moderate
305,Moderate
306,Good
307,Good
308,Good
309,High
310,Moderate
311,High
312,Poor
313,Moderate
314,Moderate
315,Good
316,Moderate
317,Moderate
318,Moderate
319,Moderate
320,Good
321,Moderate
322,Moderate
323,Good
324,Moderate
325,Moderate
326,Moderate
327,Moderate
328,Moderate
329,Moderate
330,Poor
331,Moderate
332,Moderate
333,Poor
334,Moderate
335,Poor
336,Moderate
337,Moderate
338,Moderate
339,Poor
340,Moderate
341,Moderate
342,Moderate
343,Poor
344,Poor
345,Good
346,Moderate
347,Moderate
348,Moderate
349,Moderate
350,Good
351,Good
352,Moderate
353,Moderate
354,Moderate
355,Moderate
356,Moderate
357,Moderate
358,Moderate
359,Moderate
360,Moderate
361,Good
362,Moderate
363,Good
364,Moderate
365,High
366,Good
367,Moderate
368,Moderate
369,Moderate
370,Moderate
371,Moderate
372,Good
373,Good
374,Good
375,Good
376,Poor
377,Poor
378,Moderate
379,Moderate
380,Moderate
381,Poor
382,Good
383,Moderate
384,Moderate
385,Moderate
386,Moderate
387,Moderate
388,Good
389,Moderate
390,Good
391,Moderate
392,Moderate
393,Poor
394,Good
395,Moderate
396,Good
397,Good
398,Good
399,Good
400,Moderate
401,Bad
402,Poor
403,Moderate
404,Moderate
405,Good
406,Poor
407,Poor
408,Moderate
409,Moderate
410,Moderate
411,Moderate
412,High
413,Moderate
414,Moderate
415,Moderate
416,Moderate
417,Moderate
418,Poor
419,Poor
420,Moderate
421,Moderate
422,Moderate
423,Moderate
424,Moderate
425,Good
426,Moderate
427,Good
428,Good
429,Good
430,Moderate
431,Moderate
432,Moderate
433,Good
434,Good
435,Moderate
436,Good
437,Poor
438,Moderate
439,Good
440,Good
441,High
442,High
443,High
444,Poor
445,Moderate
446,Moderate
447,Moderate
448,Moderate
449,Good
450,Good
451,High
452,Moderate
453,Moderate
454,Moderate
455,Moderate
456,Moderate
457,Moderate
458,Moderate
459,Moderate
460,Moderate
461,Poor
462,Moderate
463,Poor
464,Good
465,Moderate
466,Moderate
467,Moderate
468,Good
469,Good
470,Poor
471,Moderate
472,Poor
473,Good
474,Moderate
475,Moderate
476,Good
477,Good
478,Good
479,Good
