iter	Passed	Remaining
0	34	342299
1	66	334161
2	89	297913
3	111	278844
4	139	278039
5	160	267584
6	187	267919
7	209	261780
8	236	262903
9	264	264580
10	288	261964
11	311	259210
12	333	256545
13	353	252140
14	376	250554
15	400	249932
16	421	247559
17	443	245975
18	468	246351
19	492	245897
20	519	246852
21	548	248868
22	570	247260
23	596	247991
24	617	246348
25	645	247586
26	667	246539
27	688	245283
28	712	244882
29	733	243694
30	755	242938
31	781	243465
32	816	246733
33	839	245999
34	866	246576
35	892	246942
36	914	246207
37	937	245659
38	959	245128
39	988	246213
40	1012	245964
41	1036	245653
42	1058	245075
43	1079	244276
44	1107	244992
45	1132	245047
46	1157	245095
47	1183	245424
48	1203	244339
49	1226	244127
50	1252	244241
51	1274	243880
52	1299	243848
53	1322	243669
54	1348	243840
55	1369	243110
56	1388	242137
57	1408	241437
58	1429	240792
59	1449	240055
60	1469	239462
61	1491	239078
62	1512	238573
63	1535	238389
64	1558	238234
65	1581	238043
66	1604	237800
67	1625	237402
68	1648	237219
69	1671	237166
70	1693	236808
71	1715	236566
72	1737	236324
73	1760	236172
74	1784	236185
75	1805	235782
76	1827	235523
77	1849	235266
78	1869	234824
79	1895	235000
80	1921	235292
81	1943	235012
82	1966	234967
83	1988	234776
84	2014	234968
85	2037	234845
86	2066	235512
87	2100	236592
88	2127	236920
89	2155	237320
90	2180	237484
91	2205	237484
92	2228	237363
93	2247	236863
94	2270	236740
95	2295	236815
96	2320	236865
97	2344	236888
98	2368	236903
99	2397	237341
100	2420	237187
101	2444	237199
102	2467	237091
103	2493	237255
104	2514	236922
105	2534	236533
106	2556	236386
107	2579	236237
108	2601	236110
109	2624	235944
110	2646	235762
111	2672	235917
112	2692	235605
113	2716	235607
114	2737	235284
115	2760	235240
116	2783	235099
117	2805	234976
118	2825	234641
119	2848	234494
120	2866	234048
121	2887	233790
122	2907	233501
123	2928	233257
124	2950	233115
125	2971	232863
126	2992	232607
127	3016	232659
128	3035	232274
129	3054	231940
130	3079	232026
131	3102	231936
132	3121	231568
133	3141	231329
134	3159	230892
135	3180	230652
136	3202	230576
137	3223	230344
138	3246	230288
139	3270	230329
140	3293	230320
141	3314	230115
142	3335	229931
143	3355	229640
144	3377	229547
145	3401	229571
146	3428	229820
147	3453	229883
148	3472	229566
149	3492	229318
150	3511	229015
151	3531	228775
152	3550	228525
153	3569	228236
154	3592	228154
155	3613	228005
156	3633	227821
157	3652	227535
158	3670	227148
159	3690	226959
160	3715	227043
161	3735	226837
162	3755	226646
163	3778	226621
164	3798	226427
165	3819	226285
166	3843	226318
167	3864	226192
168	3886	226084
169	3906	225873
170	3925	225648
171	3945	225446
172	3970	225523
173	3993	225538
174	4016	225521
175	4039	225499
176	4060	225347
177	4081	225201
178	4099	224941
179	4119	224761
180	4141	224665
181	4165	224704
182	4192	224880
183	4212	224706
184	4229	224389
185	4248	224184
186	4271	224157
187	4291	223959
188	4309	223710
189	4328	223493
190	4349	223360
191	4368	223142
192	4390	223084
193	4411	222981
194	4431	222810
195	4451	222660
196	4472	222550
197	4495	222554
198	4514	222339
199	4531	222033
200	4548	221757
201	4567	221560
202	4588	221462
203	4608	221281
204	4632	221358
205	4655	221318
206	4672	221073
207	4692	220902
208	4712	220763
209	4734	220725
210	4752	220488
211	4775	220483
212	4794	220313
213	4818	220342
214	4838	220194
215	4857	220017
216	4874	219772
217	4893	219586
218	4918	219656
219	4940	219640
220	4959	219469
221	4986	219624
222	5005	219437
223	5026	219354
224	5049	219376
225	5070	219280
226	5089	219115
227	5109	219005
228	5130	218916
229	5154	218953
230	5177	218947
231	5197	218842
232	5219	218808
233	5244	218883
234	5267	218884
235	5289	218821
236	5312	218862
237	5333	218751
238	5355	218717
239	5375	218618
240	5396	218534
241	5416	218394
242	5436	218288
243	5454	218107
244	5474	217974
245	5492	217791
246	5510	217587
247	5536	217692
248	5557	217642
249	5582	217699
250	5603	217654
251	5622	217508
252	5650	217697
253	5677	217833
254	5698	217767
255	5719	217706
256	5739	217586
257	5760	217501
258	5781	217438
259	5804	217439
260	5824	217330
261	5840	217074
262	5858	216883
263	5877	216761
264	5897	216645
265	5913	216407
266	5933	216288
267	5951	216135
268	5976	216204
269	6006	216438
270	6030	216514
271	6052	216459
272	6075	216474
273	6095	216378
274	6116	216302
275	6136	216199
276	6159	216192
277	6175	215976
278	6192	215765
279	6212	215654
280	6231	215541
281	6249	215358
282	6267	215193
283	6285	215018
284	6303	214882
285	6325	214829
286	6349	214888
287	6371	214860
288	6395	214910
289	6415	214803
290	6437	214789
291	6457	214698
292	6477	214585
293	6509	214906
294	6541	215205
295	6570	215403
296	6596	215500
297	6622	215604
298	6647	215685
299	6666	215536
300	6686	215444
301	6705	215344
302	6729	215360
303	6750	215294
304	6767	215124
305	6787	215011
306	6806	214900
307	6824	214760
308	6846	214713
309	6870	214745
310	6893	214752
311	6911	214608
312	6934	214617
313	6954	214532
314	6977	214527
315	6998	214485
316	7018	214378
317	7036	214233
318	7061	214303
319	7083	214263
320	7103	214195
321	7125	214170
322	7148	214174
323	7166	214035
324	7187	213960
325	7209	213948
326	7230	213879
327	7248	213733
328	7268	213654
329	7287	213541
330	7306	213444
331	7323	213249
332	7343	213191
333	7364	213119
334	7382	212983
335	7399	212817
336	7417	212700
337	7445	212835
338	7464	212722
339	7483	212631
340	7506	212633
341	7524	212493
342	7546	212466
343	7572	212546
344	7596	212592
345	7623	212713
346	7645	212673
347	7664	212592
348	7692	212716
349	7719	212848
350	7743	212860
351	7761	212742
352	7780	212642
353	7800	212557
354	7818	212429
355	7838	212353
356	7861	212358
357	7881	212281
358	7901	212190
359	7919	212065
360	7942	212074
361	7964	212054
362	7982	211914
363	8000	211792
364	8017	211635
365	8034	211479
366	8055	211437
367	8072	211287
368	8089	211132
369	8109	211066
370	8128	210973
371	8150	210943
372	8170	210867
373	8194	210911
374	8215	210859
375	8236	210822
376	8258	210811
377	8281	210805
378	8304	210810
379	8323	210708
380	8341	210605
381	8360	210493
382	8380	210441
383	8399	210341
384	8415	210170
385	8437	210152
386	8459	210120
387	8478	210033
388	8496	209913
389	8517	209880
390	8536	209778
391	8555	209706
392	8573	209574
393	8591	209472
394	8615	209494
395	8640	209546
396	8656	209384
397	8673	209259
398	8693	209181
399	8711	209083
400	8730	208993
401	8751	208956
402	8772	208896
403	8788	208748
404	8807	208652
405	8825	208540
406	8844	208456
407	8862	208363
408	8879	208234
409	8898	208141
410	8926	208251
411	8946	208201
412	8967	208156
413	8991	208186
414	9011	208123
415	9032	208093
416	9061	208232
417	9083	208228
418	9104	208193
419	9126	208180
420	9146	208105
421	9168	208094
422	9188	208041
423	9213	208080
424	9238	208148
425	9261	208152
426	9288	208234
427	9316	208355
428	9336	208289
429	9355	208223
430	9378	208219
431	9403	208268
432	9424	208233
433	9443	208143
434	9463	208091
435	9485	208062
436	9510	208111
437	9529	208047
438	9549	207969
439	9570	207940
440	9591	207894
441	9610	207811
442	9629	207734
443	9649	207687
444	9668	207603
445	9689	207557
446	9713	207584
447	9734	207546
448	9760	207618
449	9780	207567
450	9800	207503
451	9826	207569
452	9848	207567
453	9874	207616
454	9902	207726
455	9925	207733
456	9946	207706
457	9968	207687
458	9989	207655
459	10009	207581
460	10027	207491
461	10047	207431
462	10068	207385
463	10089	207361
464	10109	207305
465	10125	207159
466	10144	207078
467	10164	207030
468	10182	206930
469	10206	206944
470	10225	206869
471	10243	206784
472	10265	206754
473	10284	206690
474	10302	206601
475	10323	206547
476	10341	206459
477	10362	206416
478	10383	206391
479	10402	206314
480	10421	206248
481	10441	206177
482	10460	206115
483	10479	206030
484	10503	206069
485	10529	206117
486	10546	206020
487	10564	205930
488	10589	205967
