SamplingOperations_code,IBD_EQR_Status
S02000010_20080811,Moderate
S02000010_20100719,Good
S02000010_20150811,Moderate
S02000010_20170703,Good
S02000011_20100719,Good
S02000011_20210823,Good
S02001016_20080811,Moderate
S02001016_20200707,Good
S02001025_20110723,Good
S02001025_20190717,Good
S02001046_20100726,Good
S02001050_20120718,Good
S02001150_20170704,Good
S02001500_20070907,Good
S02001500_20080805,High
S02001500_20210805,High
S02001700_20110720,Good
S02001700_20120718,Good
S02001700_20210811,Good
S02001715_20200703,High
S02001750_20180716,Moderate
S02001750_20210811,Poor
S02001895_20160721,Moderate
S02001915_20180717,Poor
S02002000_20120801,Good
S02003100_20080811,Good
S02003200_20080808,Moderate
S02003200_20160721,Poor
S02003397_20170703,Good
S02003400_20110722,Moderate
S02003400_20200708,Moderate
S02003610_20170807,Moderate
S02003617_20170818,Moderate
S02003620_20180717,Moderate
S02003800_20110722,Good
S02003800_20210826,Moderate
S02004000_20110723,Good
S02004000_20200707,Moderate
S02004300_20190703,High
S02005700_20170703,Good
S02005700_20190717,High
S02006450_20200710,Moderate
S02007000_20110722,Good
S02007000_20210809,Moderate
S02009000_20100721,Moderate
S02010000_20080808,Poor
S02010000_20100720,Bad
S02010000_20210805,Moderate
S02011000_20090722,Moderate
S02011000_20120801,Poor
S02011000_20190718,Bad
S02011000_20200708,Moderate
S02013000_20090723,Moderate
S02013000_20120731,Moderate
S02016050_20170704,Good
S02017000_20070808,Good
S02018000_20130723,Moderate
S02018500_20100722,Moderate
S02018500_20110722,Good
S02018500_20120731,Good
S02018780_20200730,High
S02019200_20190718,Poor
S02019500_20080807,Moderate
S02019500_20200730,Good
S02019950_20100722,Poor
S02019950_20150716,Moderate
S02020000_20080807,Moderate
S02020000_20100722,Moderate
S02020000_20180517,Poor
S02020300_20210526,Moderate
S02020750_20150715,Moderate
S02020750_20180726,Poor
S02021000_20080806,Poor
S02022760_20100722,Moderate
S02023000_20140924,Moderate
S02023750_20200702,Moderate
S02024000_20090803,Poor
S02024000_20190829,Moderate
S02025100_20080806,Moderate
S02025100_20200520,Poor
S02025125_20180726,Good
S02025150_20090803,Moderate
S02025500_20090804,Moderate
S02025500_20170706,Moderate
S02026250_20170706,Good
S02026250_20200701,High
S02026500_20200703,Good
S02028000_20130821,High
S02028500_20180803,Moderate
S02029000_20120718,Good
S02029000_20180802,Moderate
S02029160_20130821,High
S02030350_20100727,Moderate
S02030350_20180801,Moderate
S02030500_20080807,Moderate
S02030500_20090804,Good
S02030500_20210811,Moderate
S02031650_20180731,Good
S02031650_20190808,Good
S02032000_20070807,Moderate
S02032000_20090805,Moderate
S02032000_20130821,Good
S02035000_20090805,Moderate
S02036000_20080807,Moderate
S02036250_20170816,Good
S02036265_20090805,Moderate
S02037500_20120718,Moderate
S02037500_20210806,Moderate
S02038000_20090803,Moderate
S02038000_20100906,Moderate
S02041000_20090805,Moderate
S02041230_20150822,Good
S02041500_20170818,Moderate
S02041650_20130822,Good
S02041750_20070804,Moderate
S02041950_20100921,Moderate
S02042000_20170818,Moderate
S02042500_20200701,Moderate
S02043600_20130723,Moderate
S02043690_20180801,Moderate
S02044000_20070910,Moderate
S02044000_20110720,Good
S02044000_20140930,Moderate
S02045000_20130821,Moderate
S02045050_20130821,Moderate
S02045160_20090804,Bad
S02045283_20170817,Moderate
S02045350_20150610,Moderate
S02045500_20080806,Moderate
S02046000_20150818,Moderate
S02046000_20180808,Moderate
S02047000_20100906,Good
S02048960_20150722,High
S02048980_20090806,Moderate
S02048980_20200707,High
S02048980_20210820,Good
S02049000_20190705,Moderate
S02049900_20200707,Moderate
S02050260_20210706,Good
S02051000_20080801,Moderate
S02051000_20120802,Good
S02051000_20140715,Good
S02051000_20180726,High
S02051000_20200730,Good
S02051000_20210706,High
S02051500_20180725,Moderate
S02052000_20210706,Good
S02052500_20100721,Good
S02052500_20170810,Good
S02052500_20180718,Good
S02052500_20200717,Moderate
S02054000_20190702,High
S02054100_20100804,Moderate
S02054100_20120802,Good
S02054500_20090728,Moderate
S02055500_20141003,Moderate
S02055580_20120723,Moderate
S02056200_20100729,Poor
S02056200_20140716,Poor
S02057000_20070829,Moderate
S02057000_20170808,Moderate
S02057000_20200728,Moderate
S02057250_20120723,Good
S02057350_20190705,Moderate
S02057400_20080801,Poor
S02057400_20100804,Moderate
S02057453_20170807,Good
S02057480_20210804,Moderate
S02057600_20100729,Good
S02057650_20190704,Moderate
S02058000_20150815,Moderate
S02059500_20070827,Moderate
S02059800_20150820,Good
S02060500_20110726,Moderate
S02060500_20120730,Moderate
S02061500_20090820,Moderate
S02061500_20120716,Moderate
S02061500_20170810,Good
S02061500_20190716,Good
S02061970_20120716,High
S02061970_20210812,Good
S02063000_20100803,Moderate
S02063000_20200710,Moderate
S02064770_20140717,Moderate
S02065090_20080805,Good
S02065090_20150723,Good
S02065090_20180801,Good
S02066000_20140717,Poor
S02066000_20180724,Moderate
S02067000_20090806,Moderate
S02067000_20110726,Moderate
S02067000_20130716,Moderate
S02067150_20100728,Moderate
