SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S02000010_20080811,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02000010_20100719,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02000010_20150811,0.0,5.222719001807349e-162,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
S02000010_20160825,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,11
S02000010_20170703,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02000011_20100719,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02000011_20160719,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,11
S02000011_20210823,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001000_20160720,0.0,1.1780763915e-314,0.0,0.0,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,11
S02001016_20080811,0.0,0.0,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
S02001016_20200707,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001025_20110723,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001025_20160720,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,11
S02001025_20190717,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001046_20100726,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001050_20120718,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001050_20160826,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,11
S02001150_20170704,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001200_20160825,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,11
S02001500_20070907,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001500_20080805,1.0,0.0,0.0,0.0,0.0,High,0.9999999999313275,1.1052408446371418e-10,13
S02001500_20160826,1.0,0.0,0.0,0.0,0.0,High,0.9999999999313275,1.1052408446371418e-10,11
S02001500_20210805,3.1944930560435384e-86,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001700_20110720,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S02001700_20120718,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
