SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S02000010_20080811,7.15803143301233e-11,0.990045971617785,0.009954028216549834,1.2177688907620654e-11,8.190728307129538e-11,Good,0.9653356086533335,0.05579018564477761,10
S02000010_20100719,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02000010_20150811,1.540349231005318e-14,0.0008741411515489074,0.9991256374914829,1.3085969725817713e-11,2.213438667049749e-07,Moderate,0.9956299593273198,0.00703330913749047,10
S02000010_20160825,1.036363663046545e-10,0.9999965153382029,3.484557928835053e-06,2.255852446979291e-13,6.455402922409118e-15,Good,0.999970624450367,4.7278123277969346e-05,9
S02000010_20170703,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02000011_20100719,8.929105109072814e-11,0.9820580551076001,0.01794194477666476,1.328721251148538e-12,2.5115372487763838e-11,Good,0.9441310201239692,0.0899176543415017,10
S02000011_20160719,1.036363663046545e-10,0.9999965153382029,3.484557928835053e-06,2.255852446979291e-13,6.455402922409118e-15,Good,0.999970624450367,4.7278123277969346e-05,9
S02000011_20210823,3.071860152396501e-12,0.9998466579280204,0.000153342068502539,2.0680597775953955e-13,1.9825349871711352e-13,Good,0.9990679297417953,0.0015001092106069235,10
S02001000_20160720,5.441958003126388e-17,1.15033916908229e-13,3.177050395906398e-08,2.5437287284646682e-06,0.9999974245006525,Poor,0.9999776990046041,3.589206747523797e-05,9
S02001016_20080811,3.625934641517605e-23,4.776558907898964e-11,0.9999919035317695,2.326987296381325e-15,8.096420462724039e-06,Moderate,0.9999359895928931,0.00010302077598821922,10
S02001016_20200707,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02001025_20110723,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02001025_20160720,2.530299189071583e-10,0.9999999681438317,3.160311113364282e-08,2.7380487409593378e-14,8.282543059878667e-18,Good,0.9999996375822819,5.832888155778926e-07,9
S02001025_20190717,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02001046_20100726,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02001050_20120718,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02001050_20160826,2.530299189071583e-10,0.9999999681438317,3.160311113364282e-08,2.7380487409593378e-14,8.282543059878667e-18,Good,0.9999996375822819,5.832888155778926e-07,9
S02001150_20170704,1.2795429706028682e-11,0.9999999766019286,2.338526574533487e-08,1.0308601485212102e-14,9.602753091126007e-19,Good,0.9999997299178164,4.346805058643894e-07,10
S02001200_20160825,2.530299189071583e-10,0.9999999681438317,3.160311113364282e-08,2.7380487409593378e-14,8.282543059878667e-18,Good,0.9999996375822819,5.832888155778926e-07,9
S02001500_20070907,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02001500_20080805,0.9996798688917359,0.00032013110671313966,2.458418714103104e-16,1.550715569658479e-12,2.5373112742989266e-17,High,0.9982005490843805,0.0028961045251623607,10
S02001500_20160826,0.9999990039666351,9.960104404924972e-07,3.566841497803456e-15,2.2916564969184318e-11,4.281676057188125e-15,High,0.999990828460172,1.4761023914592484e-05,9
S02001500_20210805,0.7001732053056813,0.29982679465699946,6.9481080590786e-12,3.037120236326815e-11,4.991571927843019e-17,High,0.6205398975945892,0.6107174750673944,10
S02001700_20110720,1.2795429706028682e-11,0.9999999766019286,2.338526574533487e-08,1.0308601485212102e-14,9.602753091126007e-19,Good,0.9999997299178164,4.346805058643894e-07,10
S02001700_20120718,1.2795429706028682e-11,0.9999999766019286,2.338526574533487e-08,1.0308601485212102e-14,9.602753091126007e-19,Good,0.9999997299178164,4.346805058643894e-07,10
S02001700_20160823,2.7688191445520204e-11,0.9821669148182298,0.017833084544969992,4.514844267571275e-10,1.5762746725386426e-10,Good,0.9444019465637368,0.08948161505785902,9
S02001700_20210811,1.2795429706028682e-11,0.9999999766019286,2.338526574533487e-08,1.0308601485212102e-14,9.602753091126007e-19,Good,0.9999997299178164,4.346805058643894e-07,10
S02001715_20160825,2.530299189071583e-10,0.9999999681438317,3.160311113364282e-08,2.7380487409593378e-14,8.282543059878667e-18,Good,0.9999996375822819,5.832888155778926e-07,9
S02001715_20200703,0.9999999999894555,1.054330466571526e-11,1.8857830274014448e-23,1.0702523410534945e-15,2.359041405995214e-21,High,0.9999999997763659,3.5992513183383655e-10,10
S02001717_20160825,2.530299189071583e-10,0.9999999681438317,3.160311113364282e-08,2.7380487409593378e-14,8.282543059878667e-18,Good,0.9999996375822819,5.832888155778926e-07,9
S02001725_20160829,2.530299189071583e-10,0.9999999681438317,3.160311113364282e-08,2.7380487409593378e-14,8.282543059878667e-18,Good,0.9999996375822819,5.832888155778926e-07,9
S02001750_20160722,1.35648177283706e-20,2.7270661335709264e-08,0.9999976892584901,3.3610787426675195e-13,2.2834705122966555e-06,Moderate,0.9999798391495256,3.244763710033985e-05,9
S02001750_20180716,5.676418068806766e-23,1.4089001574151913e-09,0.9999993618205136,9.96734337433516e-15,6.367705761674585e-07,Moderate,0.9999939409511398,9.75166294891499e-06,10
S02001750_20210811,2.692427292266935e-23,1.210689212333722e-22,2.4939763566525938e-14,7.174563265034009e-05,0.9999282543673248,Poor,0.9995300424561483,0.0007563674883092702,10
S02001895_20160721,3.625934641517605e-23,4.776558907898964e-11,0.9999919035317695,2.326987296381325e-15,8.096420462724039e-06,Moderate,0.9999359895928931,0.00010302077598821922,10
S02001915_20180717,2.2782504126228497e-24,9.673398986545002e-20,4.843745205215846e-10,2.4793563158235088e-08,0.9999999747220623,Poor,0.9999997080198492,4.699239244658435e-07,10
S02002000_20120801,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S02003100_20080811,4.774054299281022e-14,0.09666326796881265,0.9033367243794699,1.9368024380414477e-12,7.649732933333517e-09,Moderate,0.8026086655446458,0.3176890972584065,10
S02003100_20160721,2.6763520270351926e-20,3.2536186235526156e-16,2.1240928128012442e-08,7.294868825003284e-08,0.9999999058103832,Poor,0.9999989634154638,1.6683184519390039e-06,9
S02003200_20080808,3.625934641517605e-23,4.776558907898964e-11,0.9999919035317695,2.326987296381325e-15,8.096420462724039e-06,Moderate,0.9999359895928931,0.00010302077598821922,10
S02003200_20160721,9.094802732234344e-23,1.26812197370837e-21,4.366254726363791e-13,0.00010528704626057406,0.9998947129533029,Poor,0.9993354284121582,0.001069586708999139,10
S02003350_20160722,1.932489292504949e-21,5.139282565004753e-17,1.6956086589370025e-08,1.5894789925234486e-07,0.9999998240960141,Poor,0.9999981561088294,2.967628356493032e-06,9
S02003397_20170703,1.2795429706028682e-11,0.9999999766019286,2.338526574533487e-08,1.0308601485212102e-14,9.602753091126007e-19,Good,0.9999997299178164,4.346805058643894e-07,10
S02003400_20110722,1.5281011190651533e-20,1.5534587949637473e-07,0.999999754571295,1.333914293907503e-13,9.008269205522979e-08,Moderate,0.9999974262404515,4.1423061947411525e-06,10
S02003400_20160722,3.8269548611874483e-19,1.3154657050370116e-17,4.0210145088921614e-11,0.023173371318916575,0.9768266286408732,Poor,0.9315632160985801,0.11014475461600501,9
S02003400_20200708,3.625934641517605e-23,4.776558907898964e-11,0.9999919035317695,2.326987296381325e-15,8.096420462724039e-06,Moderate,0.9999359895928931,0.00010302077598821922,10
S02003610_20170807,5.676418068806766e-23,1.4089001574151913e-09,0.9999993618205136,9.96734337433516e-15,6.367705761674585e-07,Moderate,0.9999939409511398,9.75166294891499e-06,10
S02003617_20170818,3.279750495539426e-24,9.451439626484421e-12,0.9999898576078449,6.3515291128888554e-15,1.0142382697329136e-05,Moderate,0.9999212347743293,0.00012676774037583203,10
S02003620_20180717,3.279750495539426e-24,9.451439626484421e-12,0.9999898576078449,6.3515291128888554e-15,1.0142382697329136e-05,Moderate,0.9999212347743293,0.00012676774037583203,10
S02003800_20110722,1.2795429706028682e-11,0.9999999766019286,2.338526574533487e-08,1.0308601485212102e-14,9.602753091126007e-19,Good,0.9999997299178164,4.346805058643894e-07,10
S02003800_20160721,1.499658561319483e-19,1.3781995608411153e-07,0.9999980393433564,1.2313844640732784e-13,1.8228365642112166e-06,Moderate,0.9999824616449335,2.8226893565634277e-05,9
S02003800_20210826,1.270551683965331e-16,0.00028286318606009746,0.9997170959643661,2.0533110366744085e-13,4.084936836993681e-08,Moderate,0.9983878184716127,0.002594706073512343,10
S02004000_20110723,1.2795429706028682e-11,0.9999999766019286,2.338526574533487e-08,1.0308601485212102e-14,9.602753091126007e-19,Good,0.9999997299178164,4.346805058643894e-07,10
S02004000_20160720,5.029288740859155e-12,0.7902041807586296,0.20979581811336126,1.882429904762036e-11,1.1041554235997417e-09,Good,0.6808289158409971,0.5136860433981941,9
S02004000_20200707,3.279750495539426e-24,9.451439626484421e-12,0.9999898576078449,6.3515291128888554e-15,1.0142382697329136e-05,Moderate,0.9999212347743293,0.00012676774037583203,10
S02004300_20160803,0.9999999999995199,4.689289468647066e-13,7.345822203064143e-22,1.1210975863201724e-14,2.0296608064511917e-20,High,0.9999999999310293,1.1100414489956198e-10,9
S02004300_20190703,0.9999999999999822,1.744030848433842e-14,5.056764875115823e-25,3.140879503130816e-16,7.042270099611661e-23,High,0.9999999999313165,1.1054184803210819e-10,10
S02005700_20160720,8.664653367222742e-21,9.245325875425059e-10,0.9999709657282221,7.846661406113992e-14,2.903334716683683e-05,Moderate,0.999793489134317,0.0003323664165598306,9
S02005700_20170703,0.1850623574138439,0.8149376322622934,4.2908387442949795e-10,9.894017985510444e-09,7.608995364187785e-13,Good,0.7023906371923018,0.4789837915980646,10
S02005700_20190717,0.9985447700822727,0.0014552298257699543,1.6627229465525915e-14,9.193996252528722e-11,7.981044814141242e-16,High,0.9931897996513396,0.010960594632406097,10
S02006450_20200710,5.2407756214575244e-12,0.9999974215337755,2.578460898381187e-06,8.493166835984345e-14,7.484379564355039e-16,Good,0.9999777816164792,3.575910879141068e-05,10
S02007000_20110722,3.8591489455238404e-13,0.7001151121806276,0.2998848873454535,2.3486794173971207e-11,4.5004631871094914e-10,Good,0.6205092836005575,0.6107667463900399,10
S02007000_20160719,7.837358819681985e-22,1.82937505365466e-10,0.9999636299467859,2.1417407301531446e-13,3.636987006233372e-05,Moderate,0.9997464096081216,0.0004081379909182493,9
S02007000_20210809,3.279750495539426e-24,9.451439626484421e-12,0.9999898576078449,6.3515291128888554e-15,1.0142382697329136e-05,Moderate,0.9999212347743293,0.00012676774037583203,10
S02007300_20160719,1.1566709522007649e-10,0.9999998401688222,1.5971513315099554e-07,3.776961636692206e-13,5.2435783318743834e-17,Good,0.9999983459724548,2.662054639439595e-06,9
S02009000_20100721,4.347026256255585e-20,1.5407916279638214e-08,0.9999998589136999,5.410289217555702e-15,1.2567837829500965e-07,Moderate,0.9999984993042342,2.415276660453986e-06,10
S02009000_20160722,4.686492417381776e-12,0.032792522047191006,0.967207461740789,1.6482397159139596e-11,1.619085106415629e-08,Moderate,0.9103293034006107,0.1443194187414327,9
S02010000_20080808,9.117988476302322e-26,2.7811781402134465e-24,3.1565091063891345e-14,9.958159642664606e-07,0.9999990041840041,Poor,0.9999908304759583,1.47577796316594e-05,10
S02010000_20100720,1.2586961881435665e-22,1.9137016136031299e-22,8.568928353708544e-17,0.9989392565322953,0.0010607434677046912,Bad,0.9948273960147511,0.00832498495986734,10
S02010000_20160719,6.30763053323211e-15,0.00309063233869215,0.9969092830771411,3.129792391752919e-11,8.455286244469844e-08,Moderate,0.9869834985476709,0.02094925092463202,9
S02010000_20210805,3.279750495539426e-24,9.451439626484421e-12,0.9999898576078449,6.3515291128888554e-15,1.0142382697329136e-05,Moderate,0.9999212347743293,0.00012676774037583203,10
S02011000_20090722,3.279750495539426e-24,9.451439626484421e-12,0.9999898576078449,6.3515291128888554e-15,1.0142382697329136e-05,Moderate,0.9999212347743293,0.00012676774037583203,10
S02011000_20120801,2.69525546184795e-21,7.745992758341966e-13,0.01718878043940288,4.33500025288081e-09,0.9828112152248222,Poor,0.9460141527301094,0.08688686933103898,10
S02011000_20160719,1.35648177283706e-20,2.7270661335709264e-08,0.9999976892584901,3.3610787426675195e-13,2.2834705122966555e-06,Moderate,0.9999798391495256,3.244763710033985e-05,9
S02011000_20190718,1.9892855295617312e-23,3.024477994222598e-23,5.78835561093392e-19,0.9999945622225129,5.437777487130543e-06,Bad,0.9999556644305798,7.135534629415206e-05,10
