SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S02000010_20080811,3.455432204647378e-08,0.9999722246802734,2.772605213269348e-05,3.5427879198784005e-10,1.4358993220496205e-08,Good,0.9998014406704582,0.0003195689128320323,10
S02000010_20100719,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S02000010_20150811,1.8557761947001938e-06,0.08765229551452434,0.9123450585175383,1.9026914999921648e-08,7.711648274453014e-07,Moderate,0.8153950143486292,0.2971102627316693,10
S02000010_20160825,3.455515065066343e-08,0.9999962037695981,3.755268482149429e-06,3.542872875066059e-10,6.052481988583692e-09,Good,0.9999680483009413,5.142427583169529e-05,9
S02000010_20170703,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S02000011_20100719,8.71010650485549e-06,0.9296617528098803,0.07032913319325688,2.2334692139176108e-08,3.815556658673651e-07,Good,0.8418047425433812,0.25460544491795567,10
S02000011_20160719,3.455515065066343e-08,0.9999962037695981,3.755268482149429e-06,3.542872875066059e-10,6.052481988583692e-09,Good,0.9999680483009413,5.142427583169529e-05,9
S02000011_20210823,5.22898891369342e-08,0.999849286668084,0.00015065134711170862,5.361181368772245e-10,9.158797059976242e-09,Good,0.9990819321454024,0.0014775732113763728,10
S02001000_20160720,3.191428730737336e-05,0.00507402933805625,0.0014973166870338927,7.762986446808839e-07,0.9933959633889577,Poor,0.9729896966898285,0.04347140617373438,9
S02001016_20080811,3.4145597840764316e-10,2.7073266786473886e-09,0.9999999968058251,3.5008822162561027e-12,1.4189148530997116e-10,Moderate,0.9999999581498031,6.735529341391992e-08,10
S02001016_20200707,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S02001025_20110723,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S02001025_20160720,1.9362149323825144e-09,0.9999999859146045,1.1790192570923146e-08,1.9851637845787174e-11,3.391363019291877e-10,Good,0.9999998284764942,2.760564332123121e-07,9
S02001025_20190717,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S02001046_20100726,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S02001050_20120718,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S02001050_20160826,1.9362149323825144e-09,0.9999999859146045,1.1790192570923146e-08,1.9851637845787174e-11,3.391363019291877e-10,Good,0.9999998284764942,2.760564332123121e-07,9
S02001150_20170704,1.1053382901764282e-10,0.999999999481062,3.7226612540878496e-10,1.133282006386728e-12,3.5004587060386654e-11,Good,0.9999999925381694,1.2009352972689916e-08,10
S02001200_20160825,1.9362149323825144e-09,0.9999999859146045,1.1790192570923146e-08,1.9851637845787174e-11,3.391363019291877e-10,Good,0.9999998284764942,2.760564332123121e-07,9
S02001500_20070907,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S02001500_20080805,0.9646953597087832,0.03530117376842156,3.2329818038920184e-06,1.2914559704635137e-08,2.2062643159708518e-07,High,0.9050849395168759,0.15275989680251567,10
S02001500_20160826,0.9999997819509767,1.2172095761480196e-07,9.348173235099726e-08,1.5739908272622065e-10,2.6889339437624673e-09,High,0.999997685093304,3.7256986002237545e-06,9
S02001500_20210805,0.019771940278764735,0.9802254445988182,2.4389406006711736e-06,9.742660464561812e-09,1.664391556288836e-07,Good,0.9396142749386321,0.09718707528358742,10
S02001700_20110720,1.1053382901764282e-10,0.999999999481062,3.7226612540878496e-10,1.133282006386728e-12,3.5004587060386654e-11,Good,0.9999999925381694,1.2009352972689916e-08,10
S02001700_20120718,1.1053382901764282e-10,0.999999999481062,3.7226612540878496e-10,1.133282006386728e-12,3.5004587060386654e-11,Good,0.9999999925381694,1.2009352972689916e-08,10
S02001700_20160823,1.1834200163054582e-06,0.9975564329279285,0.0024419967453681254,1.2133376925382723e-08,3.7477331019770014e-07,Good,0.9893435105851686,0.017150958077682396,9
S02001700_20210811,1.1053382901764282e-10,0.999999999481062,3.7226612540878496e-10,1.133282006386728e-12,3.5004587060386654e-11,Good,0.9999999925381694,1.2009352972689916e-08,10
S02001715_20160825,1.9362149323825144e-09,0.9999999859146045,1.1790192570923146e-08,1.9851637845787174e-11,3.391363019291877e-10,Good,0.9999998284764942,2.760564332123121e-07,9
S02001715_20200703,0.9999999983656027,1.0311823002237133e-09,5.62576150687599e-10,2.2472824553829327e-12,3.839154568652642e-11,High,0.9999999776721735,3.59352503727142e-08,10
S02001717_20160825,1.9362149323825144e-09,0.9999999859146045,1.1790192570923146e-08,1.9851637845787174e-11,3.391363019291877e-10,Good,0.9999998284764942,2.760564332123121e-07,9
S02001725_20160829,1.9362149323825144e-09,0.9999999859146045,1.1790192570923146e-08,1.9851637845787174e-11,3.391363019291877e-10,Good,0.9999998284764942,2.760564332123121e-07,9
S02001750_20160722,4.558282010579593e-09,3.6141579812398645e-08,0.999999957809856,4.6735185314186924e-11,1.4435470199775621e-09,Moderate,0.999999515638113,7.795503842901936e-07,9
