modelo,accuracy_reportada,coincidencia_con_df
BC_acc=0.820462.csv,0.820462,0.8204132085467067
CBCr_acc=0.833695.csv,0.833695,0.8336570722232033
CBFullTraining_acc=0.899664.csv,0.899664,0.899682091133875
CBph_acc=0.852459.csv,0.852459,0.8523750662193184
CBt_acc=0.8689.csv,0.8689,0.8689740420271941
Interpolation_acc=0.311300.csv,0.3113,0.31131908882217907
JAPredictionsXGB_acc=0.816907.csv,0.816907,0.8168815115663076
RandomPredictions_acc=0.3075.csv,0.3075,0.30752518269800516
RFG_acc=0.814100.csv,0.8141,0.8141418131542564
RFpR_acc=0.802489.csv,0.802489,0.8024015539466713
XGBTiF3_acc=0.568635.csv,0.568635,0.5686032138442522
XGBTruncatedClean_acc=0.372300.csv,0.3723,0.37224086173406323
XGBTruncatedRaw_acc=0.4999.csv,0.4999,0.49991170757549
