modelo,n,target_hits,s_plus,s_minus,net
98CBTPEPMIP_acc=0.914083.csv,5060,4625,0,0,0
99_acc=0.920798.csv,5063,4662,0,0,0
99CBTPEPM_acc=0.920798.csv,5063,4662,0,0,0
BC_acc=0.820462.csv,5063,4154,0,0,0
CBCr_acc=0.833695.csv,5063,4221,0,0,0
CBFullTraining_acc=0.899664.csv,5062,4554,0,0,0
CBph_acc=0.852459.csv,5063,4316,0,0,0
CBt_acc=0.8689.csv,5063,4399,0,0,0
Interpolation_acc=0.311300.csv,5063,1576,0,0,0
JAPredictionsXGB_acc=0.816907.csv,5063,4136,0,0,0
RandomPredictions_acc=0.3075.csv,5063,1557,0,0,0
RFG_acc=0.814100.csv,5063,4122,0,0,0
RFpR_acc=0.802489.csv,5063,4063,0,0,0
XGBTiF3_acc=0.568635.csv,5063,2879,0,0,0
XGBTruncatedClean_acc=0.372300.csv,5063,1885,0,0,0
XGBTruncatedRaw_acc=0.4999.csv,5063,2531,0,0,0
